,DEA,DIF,DTOA_barra,LNCAP_barra,MACD,MIDCAP_barra,PSY,ROA_ttm,RSI,RSTR_barra,SP,STOA_barra,STOM_barra,STOQ_barra,bias_turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,exp_wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,ln_capital,std_12m,std_1m,std_3m,std_6m,turn_12m,turn_1m,turn_3m,turn_6m,wgt_return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m
2012-01-31,-0.008694251800239623,-0.007706001888178129,0.001572315668357918,-0.0012863834872462818,0.0030026770303544833,-0.003329355942943186,-0.0019937061225773546,-0.001571639401804171,-0.006800060025496208,-0.015445520841346566,-0.0013888407355114123,0.0030883755513984143,0.006594686610461068,0.004189571126641394,-0.00023943598495422308,0.00464117743636722,0.0027861261631321947,0.0020781138623243082,-0.0071009236866425175,-0.0057717942522270615,-0.006006672686451333,-0.0066630430940012135,-0.0012863834872462818,0.01020627415929859,0.014252182162437274,0.013915265954048066,0.012082782887699813,0.0024851713075225916,0.006038688812562427,0.004370897686751938,0.002765295214260207,-0.0011938746006885503,-0.0029821542962451884,-0.005084503652678474,-0.008570631109327886
2012-02-29,0.0012947910695960143,0.0004913774473045605,-0.003858563509600172,-0.0003747735546129183,0.0012009388315499152,0.0002956010911204517,0.002953363931475505,0.004718140123768974,0.002044996528594005,0.012260007337922926,-0.0031755118292797536,-0.007699713446537353,-0.014480788436214677,-0.012661909896603152,-0.007292574375639084,-0.013597788608948915,-0.012159365976829949,-0.01094485719549784,-0.012191308435375057,-0.005839483531469505,-0.013950043409707293,-0.01457479392430674,-0.0003747735546129183,-0.00979687642118943,-0.014369773339995603,-0.012327895911883584,-0.011764234025967392,-0.009187002821191618,-0.01642189496057167,-0.01489593286549654,-0.012940368402373259,-0.004824426432472977,-0.014829937964646815,-0.011451971597084363,-0.009550132863948152
2012-03-30,-0.0058880457259653796,-0.006535841781842638,0.003653756602156616,0.0004642056726962427,-0.00039361421788863924,-0.0055046519938932,-0.007960757943456928,-0.007435635430163427,-0.011777370535487724,-0.014814137054438344,0.007665165285504087,-0.004413367562052986,-0.011095855640133247,-0.009842603791916094,-0.003761338658983064,-0.01036159795822712,-0.009887563880308318,-0.010077248543220582,-0.008773568847949904,0.004757967775020305,-0.003049405422129376,-0.00639991550821276,0.0004642056726962427,-0.0051714452428122965,-0.002883776019445339,-0.005027944785048236,-0.005956933497033569,-0.009203913575683096,-0.015680050392779192,-0.013936112802580369,-0.012403161167318448,-0.009399282592795875,-0.005908707337575704,-0.007167604122807276,-0.01063173590385841
2012-04-27,0.002783034603547667,0.0006660829868395339,0.00013707210907254724,-0.001401439454988006,-0.008146921785940835,-6.145201497491674e-05,-0.0035546007039432967,0.0064086460612939045,-0.003485036337718109,0.00570795584915155,-0.007949059809095067,0.00029612741216414784,-0.0015521900460767814,-0.0004930534764989798,-0.0010910626762842455,-0.0053155132221971955,-0.0019996172773015827,0.001109002322638337,-0.000268805339396654,-0.00111497326102883,-0.0028375233219546116,-0.0019943863577533,-0.001401439454988006,0.001258829728084493,-0.0008436238332745643,-0.0016660773562575438,5.678068630266507e-05,0.002782412549142238,-0.0017654981985922233,0.0020598341394492594,0.00371174865330889,0.002626586653536327,-0.0029996058210474833,0.00012526059533334803,0.0003324428432034327
2012-05-31,0.0020196335146645547,0.0026979247234070144,-0.004582650453631911,-0.001357782807822615,-0.00024023817141286506,0.010493226512270012,0.0018452263444959126,0.012352322838313466,0.0030935744239575787,0.00602082037011202,-0.0016731443335257527,-0.010608702815175402,-0.008388923423051527,-0.01012299677681618,-0.003659963778418116,-0.005908938561875399,-0.006410250775723844,-0.0039252303831548655,-0.008208433555802482,-0.0021393734384080763,-0.005218928714036334,-0.00682471899336643,-0.001357782807822615,-0.012789431797818218,-0.007431209103356699,-0.013241077102176608,-0.012077012186040622,-0.002955832902077854,-0.0062585168767560736,-0.005009560239180771,-0.0036798506942101513,-0.007261850987080562,-0.0007936402984102524,-0.0068097671623540005,-0.01176660784877668
2012-06-29,0.0004577226858829674,0.0003689381559823517,-0.00335101177130862,0.0013166072018407399,-4.712588779176943e-05,0.0016643318311675716,0.00024590784564023694,0.0073602239221907525,0.0007588411945977427,0.006181196917881865,-0.0001731661913562635,-0.00741542320663794,-0.00881810566268585,-0.0071142505330235705,-0.0053323523742911765,-0.005457068258234247,-0.0034212710240763204,-0.00362277331141551,-0.007437676453388473,-0.002869584417893747,-0.006279484509181843,-0.006727457574446306,0.0013166072018407399,-0.01469263697398913,-0.009484322437969362,-0.009197273663780339,-0.012254261723746135,-0.008767580123512067,-0.010705178456508245,-0.009258125141677363,-0.009645253526322251,-0.006411463011947919,-0.0046914975572114,-0.005157515700573279,-0.007480028082786704
2012-07-31,0.004315229604713738,0.005873005813409568,0.001264081522953384,-0.004474471003824351,-0.0024659454262139285,0.0033453587728202,-0.005075431199572849,-0.007416056798451904,-0.008235489453268866,-0.004812045278278923,-0.004664315147088675,-0.007501976890561132,-0.011805984619927545,-0.010176224042887885,-0.0035115700306747807,-0.008307452654654622,-0.0069102561650867915,-0.005072719569739201,-0.006973515174697373,-0.006743949037990035,-0.0041038259508109935,-0.006677307525370411,-0.004474471003824351,-0.004415770899826126,-0.0060610731518189985,-0.005581075219636808,-0.0047671260796902535,-0.004607796357198069,-0.009557935701094072,-0.008255687266975191,-0.00612822078479722,-0.005472795364164595,-0.007107966645126698,-0.0050437573594918975,-0.004888177789666968
2012-08-31,-0.008577903901343132,-0.007014255273497616,0.0035183137530596952,-0.0007100343137947541,-0.0015564914773638714,0.004139629551253113,0.0018362128949294652,-0.001814107756738389,-0.0033178211227349336,-0.007509911005594661,0.0021782364419007257,0.0003403484184049837,-0.0037352697085120488,-0.0031089306937904953,-0.002900029077838183,-0.0065298445346021385,-0.006293064202939763,-0.004132877015424807,-0.011451460802791098,-0.0067938723025067855,-0.007623943850280361,-0.011259136162573728,-0.0007100343137947541,2.606744220974566e-05,-0.0023044201531281544,-0.001441597822017145,-0.0010181057644877405,-0.004305324118681682,-0.009594333342065067,-0.007980517736290278,-0.006166760696243417,-0.007141570365704428,-0.008941413420747878,-0.012983455383006179,-0.008479929029059865
2012-09-28,0.0010398003263826997,0.0015347280126404917,0.005919323366971271,-0.00014687016042189927,-0.0008749292452911632,0.00011042843614725826,-0.00521195918131573,-0.004342708027312129,-0.001535365725886629,-0.0012426376791189898,0.005058401658874348,-0.007792785653391827,-0.010033017602686777,-0.009606022989593371,-0.007220915376482034,-0.00842649387197119,-0.007008638923842073,-0.00738909494741134,-0.005523754251409373,-0.0032913754449680837,-0.002873621019182495,-0.004363546924826406,-0.00014687016042189927,-0.0069883665867250585,-0.007637811560849249,-0.00662149290661743,-0.007641321561254624,-0.009450811733743174,-0.012183865230007335,-0.010362217769192973,-0.010108912301821642,-0.004847281234162034,-0.007666337274286757,-0.00490867730834517,-0.0062527083199498314
2012-10-31,0.00458361465368248,0.006593937927656822,0.002319323096684457,0.0008166790389035609,0.009236688916057615,0.009117002213285673,0.005333850785031633,-0.001762731914947965,0.004507582961160516,-0.0015648156033420757,0.005486153815739739,-0.010891492916095346,-0.011555621795961117,-0.012015291068377787,-0.009164780413031738,-0.0072196544484986105,-0.010688308669235806,-0.011887335044681625,-0.007629384515553093,0.009983156524324566,0.00367327884189489,-0.002229040211888669,0.0008166790389035609,-0.018664063084104943,-0.009905172753084786,-0.014453181549516254,-0.016968008847227732,-0.008248638414419467,-0.011710657023245915,-0.012593928976428621,-0.011797692948335027,-0.012014674027277258,-0.001352155577980887,-0.008416397351001772,-0.011379403519108145
