,DEA,DIF,DTOA_barra,LNCAP_barra,MACD,MIDCAP_barra,PSY,ROA_ttm,RSI,RSTR_barra,SP,STOA_barra,STOM_barra,STOQ_barra,bias_turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,exp_wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,ln_capital,std_12m,std_1m,std_3m,std_6m,turn_12m,turn_1m,turn_3m,turn_6m,wgt_return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m
2012-01-31,-7.0546782691829435,-6.255208533213656,1.0153565164605944,-2.59153015077451,2.417020454061384,-2.5642039684125844,-1.3886300547335881,-1.082940488707708,-4.951996182987745,-10.500314913005703,-1.0071362051129333,2.230776950769182,4.592301411746232,2.8854828338202387,-0.17066083969929174,3.3821149945168303,1.9314263308760513,1.4166782629403032,-4.324082346950233,-3.6162071117060193,-3.7754201570271086,-4.1217894678245965,-2.59153015077451,6.539970218143161,10.105069059880554,9.453919108589135,7.785578442073418,1.5361537236950948,3.8335883226634775,2.707496303933907,1.6972169148597298,-0.7270159370201668,-1.8636290652768766,-3.0483353878601114,-5.137560767462685
2012-02-29,0.9002274573924941,0.34833121897032754,-2.180506572663864,-0.6440241740092364,0.8245936228441549,0.19654174388940715,1.8680276883912434,2.8521977740405124,1.2599363054085035,7.192580929634711,-2.0141886972849794,-4.880203499590435,-9.090293783346842,-7.798073794362116,-4.545517526408405,-8.46949252719735,-7.561106766751852,-6.690127619552428,-6.609944437737229,-3.120855886125177,-7.677705069743198,-8.057410984715728,-0.6440241740092364,-5.5130560347507105,-8.529577062664098,-7.447310717754627,-6.785869618312331,-4.991314229009388,-9.190161110765713,-8.312648114579064,-7.098064322353347,-2.5923876935006027,-8.295429892550453,-6.186363880935148,-5.068261213895637
2012-03-30,-3.5904139881658423,-4.027749552153312,1.8105809112322744,0.7150365190078178,-0.24408448407042954,-3.2014193300447285,-4.229575406004103,-3.9135082394546554,-6.303325551190859,-7.6891064764583605,4.249132559989653,-2.3966742710667015,-6.132020320218257,-5.39558360826263,-2.0250482172662756,-5.721346733267708,-5.4359632498771235,-5.443372723303954,-4.017284926305923,2.2251903715005374,-1.3982921205700931,-2.9014267758979,0.7150365190078178,-2.523306360616054,-1.510170394600735,-2.626596061981476,-3.028627964457082,-4.348518020356141,-7.589256610002853,-6.737324577386293,-5.941700719574373,-4.3010033619462735,-2.734861281999654,-3.3183116515801756,-4.903348257341178
2012-04-27,1.855040574336651,0.4397001047733122,0.07489363731905777,-2.3969506946890804,-5.539760249695364,-0.038912715033071754,-2.159321792426791,3.747389622529812,-2.10461593969882,3.2276257366065764,-4.895952440209206,0.17517039319607428,-0.9180401966691724,-0.29568045780433194,-0.6436170698783849,-3.137806942568705,-1.1926691395012938,0.6567851430526709,-0.134885127617571,-0.5804743766981246,-1.4482295377719276,-1.0085954159112327,-2.3969506946890804,0.6690732604094244,-0.47260574320671705,-0.9349882523158353,0.03156494106897959,1.4376498499382424,-0.9330228916103024,1.0691201105319903,1.9300349364344567,1.3163389348011014,-1.5430235413883782,0.06367868398340917,0.1670977473397941
2012-05-31,1.4251319656852004,1.9122488455078779,-2.597969224059905,-2.2096600599258998,-0.1666932225517325,6.886901396190569,1.1087664857484798,7.545299855325703,1.9460376866626814,3.6173419461667398,-1.065147772243249,-6.575590493763696,-5.219902867622846,-6.3633163549913405,-2.2541433227103416,-3.7133524617264517,-4.049737088262246,-2.4363347205145818,-4.407361420350901,-1.2106127807552016,-2.89689297808187,-3.7379331399034883,-2.2096600599258998,-7.207372216295596,-4.462120981743569,-8.103912949073186,-7.245033106083106,-1.5867075983310113,-3.532016860764379,-2.7728071611583323,-2.0210011530745295,-3.7709161709254935,-0.4445086865436633,-3.6627206850540532,-6.3330117291264845
2012-06-29,0.3035023987808909,0.24370562023007344,-1.7813195737821679,2.1518255836222737,-0.03070640696416931,1.0336868225598794,0.1419797822650606,4.148669530720923,0.425924581249121,3.4704933613763758,-0.1027844569762107,-4.252009036730969,-5.011394601693895,-4.1195802470231655,-3.0992696152381023,-3.090255717655686,-1.9801231271689785,-2.1079180565712567,-3.7649746452757173,-1.4572302665748351,-3.241698743999458,-3.4523339246274793,2.1518255836222737,-7.818151305978558,-5.160513666031197,-5.130517552651356,-6.868667210750935,-4.428770267823491,-5.626732207012673,-4.826395203111697,-4.956008303294683,-3.1059588551888346,-2.3724191155370966,-2.618375109353518,-3.7320513349900133
2012-07-31,2.8801715953290157,3.905740356758592,0.6654357836721677,-7.453324187747765,-1.5348934972339767,2.0786834564695607,-2.9978568423152625,-4.158415488197087,-4.833794743047964,-2.6938983465568453,-2.7559468346488805,-4.334726823749926,-6.757411336917509,-5.903236067722252,-2.0301305840537553,-4.742166925260993,-3.982048522570673,-2.945739943446543,-3.4060259715050334,-3.4940200434847615,-2.051942592227526,-3.2494123495343903,-7.453324187747765,-2.3344525010555057,-3.3169172972963366,-3.0709209041510874,-2.610752955542437,-2.3216061409523086,-4.954510575956722,-4.28442373893193,-3.136684491992961,-2.6228624707931294,-3.4874920557182025,-2.5140297232688256,-2.415515317955922
2012-08-31,-6.65042027241758,-5.436689439679387,2.288500203732572,-1.3811529931758442,-1.1702670512015196,3.1544890428000025,1.2863203145119406,-1.2398221130053193,-2.313810343357076,-5.102864316025292,1.5747632288330138,0.2401851229580195,-2.5887467784940412,-2.1666960757262617,-2.02947495339351,-4.438807828498121,-4.307663476508727,-2.8824359805704627,-6.973265560690969,-4.1511999796525725,-4.642080010581906,-6.879773159496243,-1.3811529931758442,0.017011165266615686,-1.529182859880732,-0.947648574639606,-0.6802072714404734,-2.6643457302530664,-6.039396801088912,-5.029818810068846,-3.8546625055305483,-4.250489266354864,-5.631984178769823,-7.886360564356112,-5.145362984803894
2012-09-28,0.8032858588392578,1.202620429412626,3.821644591360291,-0.2855924366720328,-0.6675668890870604,0.08307006109762156,-3.600159650042137,-2.91317060087395,-1.091548647094945,-0.8459515508436508,3.6270416129512055,-5.476506654369233,-6.998193893358425,-6.678453356658451,-5.045402060699111,-5.705472638196251,-4.713594761253588,-5.057241981377212,-3.284036450428217,-2.05314455759858,-1.72770704128972,-2.6210664308720117,-0.2855924366720328,-4.5633412575936765,-5.040421040058105,-4.336675143246451,-5.0319273308426995,-5.80950845012482,-7.533134081094901,-6.380287210924104,-6.248820397647216,-2.8388642316453647,-4.748746820914904,-2.8857729814277175,-3.7736459722839157
2012-10-31,3.679089243463954,5.357694741335594,1.551796795236952,1.6450122055824006,7.504025278318279,7.170120819245055,3.8339183408189643,-1.236357165986592,3.1865550302387677,-1.103687204074908,4.090449232132237,-7.996841053779945,-8.207446986539,-8.707219601991147,-6.612007612616654,-5.017636567262578,-7.48179101261778,-8.473785359960882,-4.715768859941823,6.4904247507592085,2.314731703739278,-1.3918438162507258,1.6450122055824006,-13.20099895517094,-6.7932865112272856,-10.009062861485921,-11.946277816335552,-5.22999998946551,-7.508219686304092,-8.045826554734344,-7.578331923172269,-7.391575442238475,-0.8582008008145723,-5.2754932476356835,-7.206739885835623
