No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,EP,EPcut,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROE_ttm,ROA_q,ROA_ttm,grossprofitmargin_q,grossprofitmargin_ttm,assetturnover_ttm,financial_leverage,debtequityratio,cashratio,currentratio,ln_capital,return_1m,wgt_return_1m,exp_wgt_return_1m,std_1m,return_3m,wgt_return_3m,exp_wgt_return_3m,std_3m,return_6m,wgt_return_6m,exp_wgt_return_6m,std_6m,return_12m,wgt_return_12m,exp_wgt_return_12m,std_12m,turn_1m,bias_turn_1m,turn_3m,bias_turn_3m,turn_6m,bias_turn_6m,turn_12m,bias_turn_12m,beta,HAlpha,DIF,DEA,MACD,RSI,PSY,BIAS,LNCAP_barra,MIDCAP_barra,BETA_barra,HSIGMA_barra,HALPHA_barra,DASTD_barra,CMRA_barra,STOM_barra,STOQ_barra,STOA_barra,RSTR_barra,MLEV_barra,BLEV_barra,DTOA_barra,BTOP_barra,ETOP_barra,CETOP_barra
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,13972777.2696,TRUE,-0.0520833333333332,0.13931263147629597,0.1333422228148543,1.087192868014786,0.6524008350730689,-16106.424057474538,-15047.985700805406,1.3351,0.6156503810200471,10.6685,4.4192,-266.2684,-16.3551,3.2965,13.8764,,0.9421,,,0.0309,14.0809,13.0809,,,16.45262151387972,0.0448577680525164,1.652549545454543e-05,3.1232757755691436e-06,0.006178971603968141,0.0105820105820104,4.435343103448273e-06,3.7991898319760577e-06,0.006428688672656387,0.1100975312142316,6.694134426229453e-06,2.4943647291905117e-06,0.007585448558304949,-0.0098874785425405,7.588542040816292e-06,1.7854542064634365e-06,0.013235180649711102,0.0054345909090909,-0.44720776393721196,0.003971689655172398,-0.5960102163793851,0.0038244426229508016,-0.6109877956594052,0.004040383673469374,-0.5890228422395944,-0.004017819403039556,1.1571177197729452,16.770546871144006,7.7866018400469255,17.96789006219416,44.75355726238618,65.0,2.737883922328014,16.45262151387972,2.3838880891179843,3.608713284082423,0.014226675823244156,-3.3770647337248296e-05,0.06508870479832672,0.2080456874360342,-2.1546588956457997,-2.4880835752769492,-2.4588547928885,-0.014307115418920347,,,0.9289820502587024,1.087192868014786,0.13931263147629597,-15047.985700805406
2,000007.SZ,全新好,1992-04-13,H61住宿业,H61住宿业,525005.7103,TRUE,0.011444356748224,0.007315642159753141,0.0023773512598297534,0.06524093477211342,0.006414553338614649,32.91779900546498,265.745858646097,,2.177367744163215,-64.335,297.6318,-164.9562,232.1807,1.7322,6.1552,5.878,6.708,70.6744,70.1375,0.0544,1.2226,0.2226,0.2084,3.1965,13.171164418276515,-0.0184828648440508,5.614413636363669e-05,-5.8375822169891605e-06,0.0168869435848043,0.1660567246111619,0.00031664738448275865,8.723909677761691e-06,0.02343264007084252,0.0714585960487601,0.00046061613956043977,5.383253252305514e-05,0.02755490545132761,0.2184512428298279,0.0004700788481481481,0.00013030172718980667,0.022453376660283474,0.020283227272727244,-0.5170767050457468,0.03237406896551722,-0.2292058928449967,0.04451129670329669,0.059769324556415926,0.046136453703703686,0.09846268251675361,0.018951948996589762,0.4313965929717954,-0.06631658084990022,2.9462611602208906,-6.025155482141582,17.447074407209097,40.0,-4.13148541662749,13.171164418276515,-0.27187229250751177,0.24183880202076652,0.023251304341602205,0.005400366159937829,0.18874136462017518,0.3928423449906009,-0.8366470071467549,-0.360982955053383,-0.7581351531265268,0.1253628929416639,822.1516694902514,2.0458929708004288,0.18207514416777573,0.06524093477211342,0.007315642159753141,265.745858646097
3,000008.SZ,神州高铁,1992-05-07,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,1503909.2809,TRUE,-0.0717131474103586,0.01105720111279672,0.006692660961842464,0.20930135208673448,0.05548496634836791,376.9151910381178,-29.24566475048012,,6.546549710964763,48.0176,592.0621,-9.5515,9.8241,3.0597,6.6371,5.319,5.4349,54.0115,50.8344,0.1873,1.2232,0.2232,1.0617,3.0239,14.223578463122154,0.0070070070070071,4.450943181818177e-05,-1.6685732020724025e-06,0.013585198709144514,0.0747863247863249,5.655202127659664e-06,1.880789902754138e-06,0.015012732210312322,-0.1297577854671281,-5.7608541441441244e-05,-1.0116653475556832e-06,0.019522520364888173,-0.1379605826906597,1.7368960256410273e-05,-2.853982486827475e-06,0.027499651473312996,0.0152126818181818,-0.4092267072753014,0.013480808510638286,-0.47648273147326115,0.011010513513513502,-0.5724148180635782,0.013367363247863235,-0.4808882946891785,0.04735914453975815,1.286203508881335,2.3758393752684412,2.4714378069133196,-0.1911968632897567,37.946858539638725,40.0,0.23913909924273818,14.223578463122154,-0.9672449082780393,3.171981840819119,0.0297663893022867,0.000811941546619029,0.14886306560953347,0.36031393936901207,-1.1439212528292741,-1.5152089339937636,-1.2107089251112677,-0.16899195516833007,2014.6718143178182,1.969593702575846,0.1824570203016678,0.20930135208673448,0.01105720111279672,-29.24566475048012
4,000009.SZ,中国宝安,1991-06-25,S91综合,S91综合,2170947.1027,TRUE,0.0,0.014518360644789435,0.03584897543628203,0.20617281405273902,0.2691210506485817,-202.96217670291543,190.39605384538663,0.5064,-1.0588646932342989,22.7169,-72.9328,106.6986,-69.5234,3.036,6.2529,3.5521,2.598,30.6167,32.4493,0.2243,2.6775,1.6775,0.2558,1.4687,14.59067408315594,-0.0191570881226054,1.8767086363636015e-05,-6.1878067050525435e-06,0.011769711793518097,-0.0905861456483125,4.157379310344658e-06,8.938890938900906e-07,0.016675024578952796,0.0560747716235372,0.00018812716229508184,8.52463766370244e-06,0.022943175249152035,-0.2808190964863015,6.774033387755084e-05,1.9014133244309413e-05,0.031253483926745665,0.01882249999999997,-0.5906865096383238,0.021523586206896542,-0.5319487743155654,0.034921155737704906,-0.24060565055313088,0.03908384081632652,-0.1500840323405085,0.007340564207345095,1.2130630993297709,-0.6465626053254141,-0.5689395942677694,-0.15524602211528937,37.20452266960796,55.0,-1.305961158498392,14.59067408315594,-0.7317703667859711,4.3985288568819865,0.03039349042217255,-0.0007899284962049963,0.171141711795927,0.3762851933651823,-0.9088144430812243,-0.7064213444275017,-0.165010775807536,-0.08307210347552635,177398.98805105282,54.51381268253281,0.6265116370773268,0.20617281405273902,0.014518360644789435,190.39605384538663
5,000010.SZ,美丽生态,1995-10-27,E48土木工程建筑业,E48土木工程建筑业,316961.5517,TRUE,-0.014102564102564,0.008260967260134556,0.005249947369277623,0.3449584325088827,0.17543551867511095,55.054755707163885,-398.5219381055191,,-4.410210720752872,3.7933,-533.8613,41.7893,98.3574,-0.1989,1.3423,2.4373,0.5747,29.3889,28.2398,0.1439,2.123,1.123,0.2697,1.6167,12.666535757490813,-0.0164556962025316,0.00011940818636363666,-1.19729506937108e-05,0.014265192713051428,-0.0683453237410072,0.00019894118103448314,-1.367571426712301e-07,0.020044242088532203,0.0051746442432083,0.00016914574426229518,1.246924883096655e-05,0.018943701794476263,-0.149890590809628,0.000191036922857143,2.396481075975383e-05,0.030455256709219985,0.034793499999999984,-0.30902126347601666,0.0459066896551724,-0.08831976041704181,0.035841106557377045,-0.28821640465495413,0.03920197959183672,-0.2214714148445448,0.039352906351637455,0.7925399292569502,-1.322834231915465,-1.0941957010297527,-0.45727706177142435,35.21065738420291,35.0,-2.5644241018245753,12.666535757490813,0.7493147311497391,3.9858353654279632,0.03350069097049594,-0.002048518363647904,0.16049983726144032,0.28763714674985774,-0.29827077144575204,-0.010151436895674102,-0.175380958739795,-0.0971740075236164,116229.04575439078,34.71955471056523,0.5289669276579805,0.3449584325088827,0.008260967260134556,-398.5219381055191
6,000016.SZ,深康佳Ａ,1992-03-27,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,788717.3372,TRUE,-0.1051587301587302,,,0.2311390532544379,1.6113438607798902,-603.6353987139073,-220.25619629676456,,,22.6117,89.3251,-135.9834,93.8773,-2.0548,-2.1247,0.0723,-0.4475,10.5644,14.1346,0.9969,5.2065,4.2065,0.1958,0.9534,13.57816328114017,0.0102249488752554,1.689339999999976e-05,-1.3934687564711363e-06,0.007690796259649423,-0.0275590551181103,-6.444896551725758e-07,1.7188586794314035e-06,0.011178123806929483,0.0040650406504065,6.786176147540982e-05,3.461418876547118e-06,0.018307147587254276,-0.3413333333333334,5.4185735840708004e-05,7.742621937251768e-06,0.030295822626858423,0.01379018181818179,-0.7077647710686663,0.010749896551724114,-0.7721931065738876,0.017555901639344243,-0.6279633581113884,0.027419460176991133,-0.41893933469159417,0.04158896270835451,0.9653042138481497,0.21643464774771815,0.1036904280370234,0.2254884394213895,47.5081788385089,50.0,0.3249390739236493,13.57816328114017,-0.7759552977838029,2.7575836900750574,0.03258390142653382,0.0002528721714991939,0.14349253388093083,0.5879561502151749,-1.213294853713209,-1.4861949668546979,-0.5053728584564584,-0.17130823988582675,20326.091379426747,9.299369009438445,0.807931354667344,0.2311390532544379,,-220.25619629676456
7,000017.SZ,深中华A,1992-03-31,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,345700.4744,TRUE,0.1023622047244094,0.00022319701285617027,,0.0022009028103327985,0.024100160266065773,-18.67452268989569,-13.763835070405474,,0.24598866422547164,-13.7214,1102.1145,-7195.7419,247.434,12.527,21.6636,6.1568,7.0971,11.2575,9.6304,2.1951,3.891,2.891,0.3838,1.1952,12.753327998196886,-0.009548611111111,0.00017895146818181824,-2.768980179798884e-05,0.01733713589355909,0.0574606116774794,0.0001290429155172414,7.977051810640928e-06,0.015952090876413957,0.0825426944971536,9.995941568627442e-05,2.3782478056654467e-05,0.017954231672887566,-0.0973101265822785,0.00018220897244444441,2.1496577775966203e-05,0.03474848936816432,0.04097081818181817,-0.009733737015614086,0.029813017241379296,-0.27941821808647127,0.03243995098039214,-0.21592512782657824,0.041021822222222205,-0.0085009673827533,0.03196908371398419,1.174215104774601,0.19800959574470767,0.6364288552641766,-0.8768385190389378,33.37616132142707,45.0,-3.35013341239253,12.753327998196886,0.5431002122475128,4.8589175297499985,0.03721895477438815,0.0006693248614256131,0.16426821513211717,0.44550855667784783,-0.1621402288165993,-0.49675289712831744,-0.23440762993544248,-0.07683111177976475,,,0.7429983079601956,0.0022009028103327985,0.00022319701285617027,-13.763835070405474
8,000019.SZ,深粮控股,1992-10-12,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,653825.3526,TRUE,-0.0592678675188843,,,0.1162912397809073,0.04035056571493132,-50.224304736048104,-35.712714515505525,,,-10.3814,3.2537,93.0279,-254.9796,-1.3628,-3.9861,-3.3618,-4.3839,18.5722,20.5868,0.2153,1.123,0.123,1.2165,4.2103,13.390595549822354,-0.025366403607666,0.0005008649909090912,-0.00010475468449761036,0.031883794686899544,0.0659679408138103,0.000534496015517241,4.550772942150726e-06,0.028032858247032465,0.5637172202269443,0.0013311550663934425,9.141591837256783e-05,0.03350464748133752,0.4037915954310067,0.0010033974726530608,0.00015860794709519915,0.04145391424317852,0.10097031818181817,0.3573562255000584,0.0888908620689655,0.1949706328755938,0.10561185245901636,0.41975293336901864,0.1032593551020408,0.38812802626301934,0.05571116854592234,1.2448099021184278,-0.33315918771542385,1.6313459334548956,-3.929010242340639,36.422458374767714,40.0,-7.648755474842422,13.390595549822354,-0.5797428281523026,4.814330785259804,0.03823574282219414,0.010206397141818159,0.2574297805156393,0.788207709445628,0.7596837996966427,0.6574465468692504,0.7724628848310212,0.2973837367111005,1755.6003059970367,2.4514979557762993,0.10950240502917381,0.1162912397809073,,-35.712714515505525
9,000020.SZ,深华发Ａ,1992-04-28,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,460160.0931,TRUE,-0.1321705426356588,,,0.04396647995568179,0.0788295390048559,6.453704197156072,75.576145354767,,,4.7665,-147.5068,-247.8763,-78.5078,-0.8706,1.916,1.2098,0.6833,9.9394,13.1092,0.5193,1.9124,0.9124,0.1482,1.4525,13.039329736395675,0.140547822182308,0.0005867677045454543,9.000767250288786e-05,0.03208290042997983,0.1415730337078651,0.00028664515172413773,8.976584205686473e-05,0.02451361484406061,0.2568035625927756,0.0002619549532786884,7.553166826580495e-05,0.02635313172534537,-0.2429210134128168,7.324739517543838e-05,6.362657378571148e-05,0.038290994053075685,0.03441863636363635,-0.5730685317771498,0.028423793103448263,-0.6474290383294076,0.02620954098360655,-0.6748947955009594,0.05007421491228069,-0.37887550608504383,0.06382811471143299,1.506670151683234,1.5075884362534708,1.6676139472488625,-0.3200510219907833,46.750042634271175,55.0,2.742496561766839,13.039329736395675,-0.046833768054723085,3.072740237908383,0.0406630533257958,0.00606803589746405,0.22567653940530472,0.5731313597266237,-0.28978043334873654,-0.44989415911040287,0.0855340528740537,-0.030730704244445118,372.3194563902812,1.82360461022641,0.4770911259504729,0.04396647995568179,,75.576145354767
10,000021.SZ,深科技,1994-02-02,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1600627.8402,TRUE,-0.1380255941499086,0.02146171444759693,0.011275749583642946,0.33519927596956395,0.9186954524575103,304.90533224031,348.8041364340198,0.4591,102.70201267958089,-7.7773,4785.3592,583.5684,104.8074,1.6126,7.6545,3.4739,3.2579,5.6975,5.3655,0.8565,1.9173,0.9173,0.6169,1.2597,14.285906510366216,0.0187090739008419,4.080826363636367e-05,2.440967421833627e-05,0.013393686066437462,0.0064695009242143,1.869490689655173e-05,1.1723632311151238e-05,0.015944502815568497,0.2692223168209102,0.00015154583770491783,9.187274144385712e-06,0.024933343225636975,-0.2136835180068589,5.267597469387746e-05,1.3122400072784806e-05,0.030724531978634305,0.01033949999999999,-0.5898256242643523,0.01045927586206895,-0.5850740415521964,0.019132893442622936,-0.2409862542826502,0.018558910204081614,-0.2637565252388291,0.035344915260316336,0.874319456137826,0.3807171126546791,-0.03820647217076101,0.8378471696508802,50.83674056715748,55.0,2.1719754186799176,14.285906510366216,-0.9451527338963907,4.656650395114529,0.031701592549493146,0.001591498423714876,0.17078376246913335,0.42642312639076796,-1.5115922604411043,-1.5042137975170529,-0.9045237376932735,-0.021392977886165912,8024.387372994192,3.3213353814802637,0.4784349334784532,0.33519927596956395,0.02146171444759693,348.8041364340198
