code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,0.0009976308233836,0.0003501278569403,-0.000133357985197,6.428287845463555e-05,-0.0002997353593325,-8.891384861447693e-05,6.144680037869311e-05,0.0004738601990613,-0.0010381708033486,-0.0004746748974264,4.4795032616890993e-05,0.0013219651996911,0.0049994874860892,0.0051730592421688,0.0055300535736435,0.0044310512895717,0.0041748823508157,0.003149873791633,0.0028480994881913,0.0030544823567033,0.0021981070190343,0.0043105720473663,0.0034028909713259,0.0022910365015471,0.0020960531683693,0.0023215727739467,0.0021762764886762,0.0026068240563573,0.0030043641952697,0.0035427646946501,0.0030625701098444,0.0019274370735132,0.0006394817544711,0.0012718917962389,0.0004385233315158,-0.0006150305407838,-0.0015736014262256,-0.0021069669585809,-0.003318658474116,-0.0022007556209268,-0.0026538943733403,-0.0014292618922155,-9.693457469378294e-06,0.0002560986706115,-0.0001278393965601,-0.0002318013013282,-0.0003516204396299,-0.0004315463196397,0.0002888668652322,3.749248827037365e-06,0.0002966554860715,0.000356375082254,0.000181939436112,0.0001128133103721,0.0003700745332713,0.0005168994877649,0.0003023110235452,0.0001964367596714,-3.3770647337248296e-05,-0.000263334030777,-0.0001882368872994,0.0001886103985572,-0.0003109922916049,-0.0004925575582018,-0.0008180419787304,-0.0005350084083238,0.0011145550109531,0.0019044652095047,0.0012282927159191,0.0012607060349052,0.0034974972696474,0.0029405176940627,0.0022400623837723,0.0008976253486241,2.128708796401116e-05,0.0011887797830189,-0.0003566677563691,-0.0005151671537782,-9.714155513844164e-05,0.0019350010978797,0.0023920171642624,0.0041615100660447,0.002939427059227,0.0022863237003718,0.0035263892760937,0.0024803650957641,0.0020725345919671,0.0031881014428787,0.0025236553221071,0.0031126052107004,0.0035848450128526,0.0030388152974622,0.0041924209494682,0.0046138233829887,0.0036259126454934
000002.SZ,0.0016351939514536,0.0022862320994957,0.0024545767319489,0.0028946486295437,0.0037663274562598,0.003861860969551,0.0045145027361395,0.0031030247549982,0.0029190789880407,0.0032801221934945,0.004254169554114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,0.0009177131312367,0.0028689473471214,0.0039576193740737,0.0054055936742774,0.004920791266557,0.0048706190586588,0.0043964913465885,0.0034015210320041,0.0030585058597948,0.0038864779971006,0.0041383455717695,0.0042099031227639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,0.0011105699546995,0.0038158432900259,0.0067059131004115,0.0054807208780912,0.0088604761743595,0.008380076127333,0.0094884628724966,0.009869932255306,,0.0078786070421167,0.0044548172093694,0.0044222348914198,0.0062345743462042,0.0085327160035838,0.0073835391237803,0.0076911399155771,0.0068375922449079,0.0050457085422405,0.0062457447575307,0.0044191012900261,0.0034657549677562,0.0043360878391869,0.003596383495989,0.002608906990322,0.0039529207292387,0.0034282861720184,0.0015136185592726,0.0006077883740505,,,,,0.0025291781363202,0.0022149753811219,0.0007014936943381,-0.0014830883502664,-0.0009144930768758,-0.0032104962529654,0.0009673320431227,0.0043347420159021,,,,,,,,,,,,,,,,0.0049232649373675,0.0063571662218658,0.0060373163460668,0.0054003661599378,0.0057122451095534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,-0.0047219340607969,,,-0.0023573048947078,-0.0004427100862704,0.0017204803731684,0.001457412636031,0.003637354186325,0.0023593275270113,0.0020290957413917,0.0009667391146858,0.0006662045487487,0.0020177322713147,0.0040437571850768,0.004639280489409,0.0035776982052502,0.0049116916273868,0.0068415099602168,0.0080409135957886,0.0071518757102848,0.0075963931097232,0.0070675169477882,0.0073776038463867,0.0061167286105402,0.0065089335635101,0.0082488179843196,0.0078593883768634,0.0063758142988767,0.0059102848206622,,,,,0.0133813900454782,0.0148037849656389,0.0134869264188053,0.0147254386086342,0.0139143932732984,,,,,0.0121779675073827,0.0078763354647071,0.0094730054697221,0.0136981649257172,0.0120930089418728,0.0102712219328002,0.0074637048923562,0.0064520229681129,0.0093387118975153,0.008790385959335,0.0093298369649268,0.0079632317872322,0.0068721676620159,0.0052908982376861,0.0055581904739502,,0.000811941546619,0.0008618230179589,-0.0002532833461648,-0.001062626539812,-0.0024750897638593,-0.0025487261792638,-0.0043811524152132,-0.0040796752666119,-0.0042334310535725,-0.0032145680905911,-0.0021057574534467,-0.0024837044851644,-0.0043992345608401,-0.0034063294895608,-0.004448482580153,-0.0037775591357474,-0.0044424248067884,,-0.0067185162416664,,,-0.0078374260476272,-0.0052800859077829,-0.0049053915686331,-0.0050649446991385,-0.0040438356176516,-0.0046563539918622,-0.002837357562585,-0.0027022339009132,-0.0035811911953111,-0.0041200227128933,-0.0040232962981443,-0.0045859203367909,-0.0047682518483597,-0.0045086583876863,-0.0047777441586022,-0.0044068165164111
000009.SZ,0.0047490584324266,0.0036550613879669,0.0009924372966848,0.0011862192649409,0.0004810060953582,0.0002263080492233,-0.0009095771479399,-4.812477636773711e-05,-0.0006445096478393,-0.0008963474862976,-0.001758480635,-0.0038602333086251,-0.003539268945914,-0.0040760216145829,-0.0017499115885365,-0.0009621999570755,0.0004711947998822,0.0008194431628951,0.0016998542483632,-8.060207474671819e-05,-0.0006247389909017,-0.0007908466870393,-0.0007439321075632,-0.0011915841520768,0.0007340086166315,0.0027553266832946,0.0028864445867378,0.0023911524833081,,,,,0.005878432677756,0.0052138498708113,0.0038047691153974,,0.0020047435530237,0.003573547930638,0.0037733918488595,0.0050066370386882,0.004338381452051,0.0002208851581538,,,-0.001987392544648,0.0032014790559137,0.0050194126162337,0.0043079870033678,0.0005024336501643,0.0010523519069794,0.0010197956072947,0.0016160851323881,0.0006107459649442,0.0016747878386946,0.0019693165944938,0.0027124805688384,0.000629944425869,0.0002748489044204,-0.0007899284962049,0.0015928590570262,0.0003051618162358,0.0002892856729073,-0.0010408590823883,-0.0020189845286559,-0.0044646946839877,-0.0033378077102662,-0.0006252113203599,-0.0015148913134423,-0.001488533681666,-0.0037627720980366,-0.0055306141082535,-0.0063030095992669,-0.0080003081421347,-0.0075034747916492,-0.0059401227456268,-0.0057846653729083,-0.005727113169551,-0.0065556516347608,-0.0058896499413562,-0.0060971184924794,-0.0061514760204411,-0.0064633918592786,-0.0031326066787733,-0.003503244608183,-0.0050783021028781,-0.0034724963400267,8.85682628306049e-05,-0.0015379332800366,-0.0005673643505909,-0.0007138070271002,-0.0013930134867642,-0.0009970876454069,-0.0018496339113798,-0.0015676049636659,-0.0012171746993725
000010.SZ,,,,-0.0019197289960332,-0.0013002411473181,0.0011330256107733,0.002017116493547,,,0.0036858254368415,0.0042202377523575,,,,,,,,,,,0.0089772438414914,0.0075374430073371,0.008016897678432,0.0063920221533098,0.0070826127182736,0.005126640750923,0.002306788317835,0.0028558394726301,0.0047937352411922,0.0045234343942126,0.0054878111997394,0.0048171471896018,0.0050347323069447,0.0033639890560477,,,,,,,0.003415411564927,-0.00165655628354,-0.0029095407934478,-0.0047633575010464,-0.0004358143009531,-7.246145270387323e-05,0.001352736931244,0.0007434589488481,0.0019413997048953,-0.000112971436096,0.0017414771500953,-0.0001949234781186,0.0001418087568838,-0.0009536805839852,-0.0002719773080546,6.959077473073564e-05,-0.0012826620861376,-0.0020485183636479,0.0004227014635854,-0.0010035316587071,-0.0012076221380295,-0.0017040536890339,-0.002031380011165,-0.0049335448164161,-0.0072299874289584,-0.0062172591726533,-0.0058278304580562,-0.005007984809869,-0.0026830497523498,-0.0053816347535072,-0.0050436050777627,-0.0057279120353742,-0.0066542637196271,-0.0057430636930011,-0.0094407256140072,-0.0075504454536489,-0.0041618187453295,-0.0017555610543065,-0.0010716193703578,-0.00039826483485,-0.0009390276193985,-0.0003517848750074,-0.0035545335027401,-0.0055704096939351,-0.0043489974453249,-0.0044419444872317,-0.0043100786390097,-0.0033515361042205,-0.0022610783264723,-0.0014507969046289,-0.0013145895932545,-0.0016466119818749,-0.0010364819868728,-0.0021391128842889
000011.SZ,0.0005825924663167,0.003575183517012,0.002418630600357,0.002871994011815,0.0027205770062199,0.0033903004431752,0.0001238082662433,0.0011700427775107,0.0009115761277394,0.0013147391108114,0.0017837502325669,0.0022178915032148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,0.001387851448352,0.0013690802954213,-0.0004017710679516,-0.0014785076951504,-0.0013328547290968,-0.0011048242721964,,-0.0010394781004707,-0.0027656224607604,-0.0024912421466599,-0.0021196657817697,-0.0031892807627606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,-0.0047030860232703,-0.0019838344069888,-0.0028741328460231,0.0024941610888657,0.0010812683217735,0.004261965189251,0.0020232576790002,0.0044246168829138,0.0036199653934357,0.0039790179633758,0.0021638084725324,0.0030903928508228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
