code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,5167316.8302,5310163.3291,4878518.4737,5142473.9608,4872307.7564,4707723.7468,4689091.5947,4406503.9556,4077335.9363,4086652.0124,3974859.1002,4974784.5925,6552306.7979,7142324.9456,6247980.3403,5807019.5011,6518146.4882,4953668.1534,4764862.3461,5271656.8814,5902665.7635,6906317.6863,7583226.55,6830479.7969,6356528.1375,6205978.7869,6005246.3194,6211554.6888,6412287.1563,6630839.0924,7273180.7199,6858383.4194,9974426.1201,10849893.5015,12236869.9146,15581352.0456,13702540.025,13761560.2979,15492821.6363,19712771.1486,18083811.615,17163095.3579,14589811.4596,13067088.419,12382453.2534,13409406.0017,13857960.0757,14153061.4402,11804054.579,11284676.1775,12559514.0721,12476885.69,12863246.0908,12729126.9367,13460685.956,13884990.1873,13270480.611,13387530.0541,13972777.2696,13314374.1522,15784484.3444,16038254.1891,15513796.51,15209272.6962,15564550.4789,15885992.2823,18051494.9576,19083492.3263,18795886.5023,19523360.0573,22636270.153,22500926.2358,23769775.4597,20386177.5295,18440601.8755,18356011.9586,17479311.2149,15607754.3167,16174372.4602,17393459.981,18973122.6842,18732739.2293,17788375.6568,16105691.4731,19058973.918,21222425.0114,22012256.363,23780791.7806,20913360.5695,23660600.0532,24261558.6902,24313068.1208,30253568.4281,31553753.8577,29671395.8477
000002.SZ,7388812.4194,7997302.8539,7999993.887,8676321.8727,8937191.2386,8608689.0741,8917867.5818,7748952.8961,8145096.3733,8038813.977,8454281.5263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,424886.0503,510056.8304,533285.2249,614583.6534,595696.8108,555789.0179,518801.3076,507412.9862,507412.9862,525128.1528,488432.4506,626357.6763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,129660.7195,169798.2032,213450.0289,212525.2021,290395.6199,274488.5987,305747.745,295389.6847,,297424.3037,233611.2535,267644.8803,338301.6489,363271.9729,291875.3428,299427.2568,314028.9564,244901.923,264863.7401,264309.2452,247859.2292,270408.6893,261721.6022,256546.3163,249153.0507,238802.4789,224570.4426,223254.2743,,,,,342473.0666,350911.4054,335887.0461,300487.1859,297605.8019,271261.7198,394132.165,543542.0443,,,,,,,,,,,,,,,,461362.4131,500907.7628,531802.5673,525005.7103,527889.2254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,51704.4888,,,64372.8251,74684.2617,84185.5139,70706.9933,82859.7578,81018.4298,82049.5735,72327.3619,79029.7956,90666.9883,101567.6497,108785.6553,100904.7717,128451.0378,121085.726,132870.2249,131102.55,141561.2928,140088.2304,148042.7672,132575.6124,126241.4443,141561.2928,139940.9242,136700.187,128892.9565,,,,,296822.0655,358985.2971,325399.4753,375188.9831,381228.5388,,,,,583538.9227,501945.9987,531804.3446,835509.4763,756059.1887,754777.7324,1106179.1491,1093240.6847,1618894.7673,1605416.4575,1731214.0157,1630875.4871,1502082.7489,1412717.9626,1448596.5141,,1503909.2809,1393553.0189,1304404.7912,1747731.478,1756807.8836,1624142.7574,1425145.068,1463336.5438,1510886.6536,1615085.7331,1795799.6497,1825630.2087,1686420.9335,1759662.4771,1665143.4641,1995158.2573,1749587.8133,,1427295.3214,,,990551.9988,1117545.8448,1121546.9554,956239.581,989301.0559,931087.2334,1194554.2253,1200795.3665,1115024.2689,990266.3088,979869.8121,938283.8254,897444.7238,889663.4112,889663.4112,910413.5782
000009.SZ,1392474.6201,1328787.7964,1094549.8177,1200334.7113,1234876.7174,1079437.69,885138.9058,949905.1672,961778.9818,945587.4164,831178.6298,949918.4341,1048148.6358,983381.4698,1075134.9549,1070817.1439,1400073.0245,1187417.3685,1294770.6931,1231459.7579,1278632.6116,1224011.4126,1215321.6764,1173114.3863,1163183.2592,1387875.0094,1308425.9928,1248839.2303,,,,,1979770.1834,1932100.7734,1984239.1906,,1946997.464,2258338.298,2487747.3335,3333879.3608,3012110.8434,2429650.2401,,,1577559.5367,2383470.4992,2979338.124,2675445.6354,1765257.8385,1635656.6301,2135234.4054,2127458.6064,1993714.8636,2130568.926,2149746.4474,2399914.18,2200628.0201,2200628.0201,2170947.1027,2196387.8891,2016182.319,2069183.9573,1944100.091,1778734.9788,1558248.1638,1715133.013,2024662.5802,1819036.4203,1905960.0721,1727872.5904,1611267.6917,1532824.3962,1344136.4691,1280533.7971,1286894.0643,1233891.8376,1214682.111,1038733.3933,1064171.7621,979342.5485,983582.1266,852155.2045,1011139.3845,913629.0874,862754.1499,1093811.1581,1422378.4633,1310029.6428,1227357.8692,1210399.5567,1190515.6594,1170164.9643,1121832.0636,1159989.6168,1137095.0849
000010.SZ,,,,80606.8829,85759.2152,93555.5075,90775.9598,,,98640.0459,103182.2336,,,,,,,,,,,226160.2703,204466.2395,207991.5195,187111.015,197686.8549,171382.8427,149146.4612,142095.9012,178162.2273,187111.015,264678.3541,278646.4945,293689.1074,273990.4477,,,,,,,387168.2013,296912.5244,256082.5753,251692.7637,354899.0348,369992.442,412009.2243,341845.2772,326343.94,339805.6275,363465.5632,315737.762,319409.1313,313698.1123,340213.5575,343069.0669,317777.4116,316961.5517,313698.1123,290038.1767,370219.5921,354032.2756,325312.8433,260041.406,263696.6065,256386.2055,264218.778,279361.7514,314869.4133,267873.9785,283016.9519,248553.633,232366.3166,235499.3456,169705.7369,184848.7103,204169.0557,242287.5751,235499.2779,251686.5897,228711.0504,217745.4521,170227.8594,154562.719,185370.8285,182237.8005,178582.259,179104.4294,172838.3852,190592.177,175945.5088,175423.4153,184821.0983,172290.8543
000011.SZ,88399.1094,116559.0884,97253.5358,118446.223,112494.8809,108575.7044,84496.5213,87269.2915,89020.5147,90187.9969,83037.1686,104927.4591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,1274354.1978,1400757.7518,1155689.6369,1251137.2185,1271774.5334,1176468.2118,,935990.4001,922972.4529,921670.6582,887823.9956,1073980.6399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,100045.7728,124452.1004,106500.3387,164793.1378,149060.1332,195654.0314,147244.7865,166205.0741,168020.4208,165398.2533,131108.3716,171045.9986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
