code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000002.SZ,349314.218891495,309544.99092066893,307069.4863011572,385823.26495982247,370904.2514900896,390182.8385759941,383679.807931878,494766.4216317447,481508.39571694337,466564.70351968514,459369.77095914015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,119576.76538368218,95705.81776281285,94311.21205349149,90779.24868030968,94016.0744002392,102668.78920893167,108832.70900721494,169763.98322954355,172369.04179296206,239615.8960065255,264602.4760969588,203624.3581507796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,905.5186868923588,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977.702247745349,1758.2526894389994,791.657139531918,822.1516694902514,812.4720820160951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,45.09010652130057,37.28654784455061,42.78247240910936,35.16983255180758,50.16366394801216,,,,,924.8498149723114,1080.0284537329624,1055.5758105671855,643.9177322816662,743.6196585455988,778.6488877260186,1135.841806109675,1035.8993611244412,719.8973317847589,1685.185895852556,1765.5088735313177,1885.4754824418485,1992.676183535164,2151.8767903196403,2124.679191242604,,2014.6718143178184,2152.399731681608,2344.3554435598608,2312.2179975221898,2341.643226591069,2802.9851841206028,3222.3032465622805,3177.871477628908,3064.737511769016,2234.6989764237924,2071.2746179652904,1922.425652023811,2720.46943629715,2623.121223196379,2750.100459233428,2919.71077030298,3320.820145090376,,3822.356617814456,,,5419.825991769436,4804.05031068792,26260.527659288196,29794.13164614704,29028.24137219472,29803.10410099475,25097.50871699825,25432.128833706225,24178.937099641727,26508.582080472963,26508.582080472963,28042.07856535707,21679.533504808194,21679.533504808194,30915.02046451735,30648.52028931081
000009.SZ,238383.92617595807,232991.4886783852,290842.0968703566,253656.9305254696,252096.65678822575,292740.65043868,346480.29641105136,187258.9840069478,189838.8873361624,349658.0428448087,404867.0496208785,356133.17324381287,307699.1976970204,346898.62988087395,309868.2685762015,116932.10088975624,92109.72920166462,110648.91787376504,103270.50899189754,121401.66510539727,121642.06246050466,114195.24391454711,115968.4464579602,121634.60833083378,118545.5008169531,105884.32067368815,105984.49410793118,179386.29357626537,,,,,158125.993828872,167363.13240592004,165448.23386875645,,159839.85305442923,145182.6088369204,123163.96221932376,103418.48859135782,103124.8279522134,143829.81086531858,,,227684.67133788168,148718.41670792672,138562.9966485922,135945.79757116945,231744.9833489817,206820.1378564849,180708.1089678244,189213.8214515204,218691.5122400208,195705.064236335,191703.10782818304,156027.648608998,167624.22383852667,173163.12396780634,177398.98805105282,172668.3750355196,191246.51032913945,185759.95880221992,197927.57619500812,214302.10125372175,245920.2965108394,223897.67294461612,194609.56761824276,196303.9294185892,188879.7919335464,370930.7598670083,388708.48151275824,417942.7489156007,453297.3379548353,508614.8571581573,495186.1084681011,487762.5656793092,504165.1670237252,597176.5856513993,573145.3749726752,676551.302690993,680973.2000852377,811189.4079672545,690116.5112317025,752708.3832058038,781798.5235889062,618861.7548326793,497180.9919705795,558042.6806255119,604898.3125823332,611155.870975641,616684.7599323024,615400.0020816758,732128.2910372011,593235.7464600175,614565.5351282589
000010.SZ,,,,481.28642933464255,449.24095914584086,403.48855360759546,387.2061920315699,,,368.95471666766736,369.9525599806796,,,,,,,,,,,378.6472159768633,409.9953636665472,409.4655769151938,454.06813992888686,438.96586850518673,503.12647344392633,540.4085411687295,517.6748479233603,431.1503517811956,393.0120212408365,677.8019995226103,641.6829601555827,314.04236217150054,344.5524989223235,,,,,,,20443.631059375148,23640.70920220902,50145.56096153327,63813.86493320228,53207.83486605063,42672.02899668796,38076.68741126631,42924.02800941785,38380.37414457852,40429.095179483054,99890.12218862445,122192.83554182404,115769.93137181149,117121.31967269826,110759.6675556684,109026.98081388982,116378.24735120252,116229.04575439078,114179.68474284383,128593.7314571127,128048.84701042216,134110.28355146633,3229.9616262515665,4111.185369090716,3965.83500273277,4119.573502363391,4207.5719827446,4182.827442060217,3643.504734569431,4193.710994436269,4076.8138477053058,4275.440253281988,4737.042873013045,4906.565660315661,37797.02583612787,34156.615408214675,31075.567632025155,25654.04731887436,26675.628846852196,4716.536175696121,5759.264560102926,5643.326347747038,7690.389868992622,8788.874138325806,7065.761562242363,7354.119174925661,28094.018320779294,28046.96586805937,27876.473677050515,26203.94525409602,26736.48077139185,27212.4833984979,25832.746215202904,27785.145841137528
000011.SZ,29565.734197294278,21518.738197345145,31019.19350462992,31055.697710458626,32000.32729805702,33004.227761704264,42648.75208823507,42454.59927174329,41959.307285463394,41203.920412614825,44865.404087401526,35454.19288789431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,172584.67310562485,154032.3180049722,188244.1873207092,152797.84739714823,150833.9254679577,169432.102934843,,214958.25926781763,221444.038633169,214378.733211444,229714.73543217411,185865.4386434924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,498024.4006308122,382741.2058710003,524604.6104690703,315944.44296347024,367347.9396245877,275238.15201584215,364455.4440896863,308075.3020745892,307326.6402958967,302547.6531220066,164324.69559244413,124174.09062636056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
