code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,-778.048507436351,-757.1185475816119,-29.9972039122446,5858.093509964768,6182.920874768296,6399.078398716955,6424.505200304876,14555.178490553222,15730.234789115171,7863.3529808725725,8084.509783489592,6459.5334100735945,4904.347167231653,4499.205444737579,10104.649561947735,807.6171931242142,719.5065036383603,946.742823000666,984.2571371588228,-6768.967882763874,-6045.349262337687,5077.724822352883,5189.733458162594,5761.663267850764,5330.674818627711,5459.9903802603,881.3280968886623,11337.520778887478,10982.607084956266,10620.58371000653,9682.611275605,8830.438367183058,8926.232077309776,1141.1195983753605,1011.7804799150364,794.6053769017401,903.5570114940176,899.6818563351726,130.7087164631606,-2270.6656168700056,-2371.618835941513,-2498.844605678185,-2939.579333863432,9848.28979220301,10392.80915156837,13350.082508447256,12917.967401686295,12648.618623484468,15165.69372959235,15863.69636984792,5115.790395898418,4661.315675761841,4670.152293163674,4719.358878839063,4462.871983249504,-10705.307968749355,-11201.033365266983,-16810.530027158744,-16106.424057474538,-16902.89557672601,-16486.211119870222,-16225.353348976589,-1773.6758357404317,-10200.373269099126,-9967.538661868915,-9765.852576027746,-8594.31637199268,-4587.049380708556,-4657.238255114637,-494.987176934366,-426.91719146749455,-429.4851144231589,-406.5588627644301,-474.0375121860111,-5150.208156100659,3800.6652714437337,4050.807288321223,4536.547656230379,4377.624012215459,5554.045834695695,5091.627538975974,2064.1204081545297,2173.702090051057,2400.8052934937914,2028.7886173795168,1821.9703602696989,1125.5894026863868,423.65719003415046,481.7448343158775,425.8092947737683,415.26200155416615,-2440.1045482783243,-1960.975087150316,-185.523094848282,-197.2927091061288
000002.SZ,289.61197238904526,267.5762788387746,-162.87547724294944,618.5536326294671,600.4985536222079,623.4132010161991,601.7997422578991,643.3267882384566,612.03805950618,-110.39591268106211,-104.9707421147503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,-1760.5825802914626,-1466.5953561791878,-1402.7146145553388,-795.5576578294205,-825.4560665659636,-884.72699244468,-947.8032133255238,81.74065114779737,81.74065114779737,1872.565249000078,2013.2502030594917,1569.9284409231727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,342.4218776787805,461.2739887048276,366.9406599361256,278.6206069462004,203.9076926150917,215.724445680188,193.66913335122072,41.81174458385223,,616.2793857324626,784.6217356626172,684.8495177135777,541.8136972720054,504.5709024017609,627.9957238816273,85.60665633087393,81.62612318064609,104.66625151661316,96.7779366797222,34.89272747917397,37.20850133780066,-834.8312796654757,-862.5410750653734,-879.9410392149031,-906.05204922616,-945.323654989448,-1005.2330555214724,-105.50239890134984,,,,,-103.4297190967625,-15.53697899832535,-16.231954161924108,-18.144211773674325,-18.319881874811227,-20.09905098186224,-13.833184957614016,-10.034298936365364,,,,,,,,,,,,,,,,75.92876907044906,69.93439256417582,32.49708352517396,32.91779900546498,32.73799050424847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,-69.94234550180461,,,67.58979311416441,58.25786903216256,51.68283396325117,61.53487413792908,43.155487266759735,44.13629379554972,7.402516458758326,8.397559397998027,3.728914283204358,3.250304652550032,2.90146847460376,213.7396653825582,323.256740108383,253.9344804558599,269.38061673539164,245.4887660289021,314.9715186954054,291.7009902990028,203.137032468026,192.2222068162457,214.6481309448072,225.41810715924944,201.02322359710035,132.51672733839206,76.34187620429398,80.96601270006339,,,,,46.219027002035816,38.21556807820466,42.15995446063717,36.5651116634053,25.31357289025049,,,,,146.2335093314207,52.9725172631972,49.99414280017418,31.821425248499036,31.81609694324037,31.870114086274377,44.80070930075803,46.42998519711362,30.343772615804333,78.46459596468358,176.514248970424,187.37417062477635,203.44015135693357,285.7833788149482,278.7051527139743,,376.9151910381178,399.4021042381051,427.37400820586026,424.9346588430763,425.9070493740431,-81.98721203241355,-93.43535588381144,-90.9967957714903,-87.88563114282007,67.91552917517886,60.38827030985933,59.415770649630254,-110.6153135881566,-107.20204105205669,-113.28718106228422,-124.07643640433372,-137.13711391719207,,-129.84104895964643,,,-207.37887372266425,-183.81309261021423,-446.11791567720985,-523.2393638712467,-505.7532154723472,-547.7843954616884,-426.9668521126943,-431.5877054803967,-24.614458732028226,-27.71549290288269,-28.00955648849389,-29.25097727369053,-296.6099991405641,-299.20425568093447,-42.28748391040297,-41.32366661620043
000009.SZ,-227.35671193584156,-238.25358114941773,-289.2407873735161,-177.80289941111914,-172.82939172511863,-197.71682413733944,-241.1180782108764,-46.45385151556693,-45.88034717675378,50.13287877243363,57.03428805978792,49.905002051571685,45.22801421500314,48.20680768969033,44.09277289540296,445.6635251027642,340.86215645264707,401.9074699227426,368.58411526386544,-15.733219436180088,-15.15277056380806,219.17231611873297,220.7394317679233,228.68137956388748,230.6338353195668,193.2950838121181,205.0321666986692,390.2638559496026,,,,,150.00201239887673,-451.6665423942884,-439.79842754479256,,-448.2107922589114,-386.41919886032485,-331.64510165661943,-151.67031837515265,-167.8724888851596,-208.11659872605463,,,-292.3139527376805,-193.47529747123755,411.3189119832463,458.03887747985726,694.2091341526159,749.2147759377957,599.1535498603223,739.097468241997,788.6781096013935,738.0184938262709,738.6115396135441,566.7037983837216,618.023795546415,-200.22472923239116,-202.96217670291543,-200.61126345492465,-218.54181802896264,-212.9439230973489,-226.644786198635,-608.994466753223,-695.1651123944348,-631.5776979310524,-535.0223639957982,98.97172031847948,94.4579933634044,1082.4639043001944,1160.8001078956167,1220.2048161010168,1391.495397525736,1460.6094073035938,1453.3905799344711,874.853006496949,888.594153168006,1039.1111219744002,1014.2718123349042,1196.3222960342653,1191.16573446354,136.33751402981463,114.90079797810768,127.16399219809804,134.66260598804303,106.21643534709423,81.68059707731679,88.68556737283758,1057.1728466616964,1071.984375189383,1089.927133672231,1108.8823881524247,754.6798931205683,599.9800216740966,612.0601562939718
000010.SZ,,,,-53.76490779625216,-50.534763151666624,-46.323532893179,-47.7419532269537,,,-0.7301428057629988,-0.6980011708131457,,,,,,,,,,,915.5952858825,1012.740674211892,995.575578137728,1106.676041269631,1047.471150003994,1208.2380830242423,1228.394887655277,1289.345779077701,1028.3366639852595,979.1553452807024,-173.48403964628292,-164.78753891912052,-203.67399861253935,-218.31722729877364,,,,,,,-94.11458518253164,-122.7236026149811,-175.0938279295412,-202.90451695670515,-343.815777892641,-274.85268056486217,-246.82314978229547,-256.03126819797444,-268.19275343972123,-257.56807054127995,166.45377208030806,191.61538878310463,189.41291305511533,192.86126258296625,30.48251644766395,30.228797523194885,54.9134084546952,55.054755707163885,55.62749698855084,60.16532375183496,60.335042574965065,63.093724462354686,-640.3892825773445,-801.1295642993343,-790.0247980450308,-812.5509634004103,-472.7615151772428,-447.13519003332897,-90.33541393434814,-106.18373215224172,-100.50231476707296,-114.4375096563861,-122.40956088960644,-120.78105231189404,-268.45673058327134,-246.46451251971573,-223.14178370013096,-188.0354255144753,-193.4555153495512,-190.91553610575428,-226.43609594462376,-237.8393525935112,-304.2300921457182,-335.0642231250737,-279.37749304370703,-284.180544522145,-382.8838807974954,-192.51265057214573,-199.4919611981969,-180.9091483994608,428.4497657917744,429.7249138838953,407.8744945840512,-11.278396597713847
000011.SZ,-334.9208798050609,-254.005997229536,-176.91536795362475,-163.45626949489537,-172.10363343937246,-178.31593037473436,-230.36323990180207,564.165309417496,553.0669754673453,545.9075323239604,1274.289681066807,1008.4434332483823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,157.19560842239233,143.01036935550718,-13.869815812013806,-324.6521372656976,-319.4611268060208,-349.9874122632178,,-268.8821659568313,-272.6745801453188,-222.5514457875167,-231.0358117623661,-190.98960438752505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,-1602.0909374196297,-1287.9045465270783,-608.3130394777208,-58.07592311043456,-64.2057228485024,-48.9154940049962,-64.9973002609503,-489.6037643293765,-484.313927691352,-491.99207552939606,-372.16232399611033,-285.26593237710125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
