code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,68.8278,68.8278,-165.4974,259.9074,259.9074,259.9074,259.9074,355.6029,355.6029,362.9054,362.9054,362.9054,362.9054,362.9054,1387.0258,-81.6226,-81.6226,-81.6226,-81.6226,-80.0042,-80.0042,21.7919,21.7919,21.7919,21.7919,21.7919,-50.6699,325.6463,325.6463,325.6463,325.6463,85.5,85.5,-105.0673,-105.0673,-105.0673,-105.0673,-105.0673,-72.3793,-80.8726,-80.8726,-80.8726,-80.8726,241.6479,241.6479,1900.4502,1900.4502,1900.4502,1900.4502,1900.4502,-107.2114,415.5981,415.5981,415.5981,415.5981,-118.1885,-118.1885,-266.2684,-266.2684,-266.2684,-266.2684,-266.2684,701.8072,-294.0474,-294.0474,-294.0474,-294.0474,-286.1076,-286.1076,-3.2986,-3.2986,-3.2986,-3.2986,-3.2986,-1180.8991,136.034,136.034,136.034,136.034,105.816,105.816,92.8412,92.8412,92.8412,92.8412,92.8412,51.7402,28.3336,28.3336,28.3336,28.3336,254.554,254.554,846.9496,846.9496
000002.SZ,-23.8549,-23.8549,51.4992,164.8094,164.8094,164.8094,164.8094,-26.3119,-26.3119,-133.4225,-133.4225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,398.5818,398.5818,398.5818,-70.304,-70.304,-70.304,-70.304,-8.3732,-8.3732,53.1675,53.1675,53.1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,-327.4266,-160.9191,-160.9191,-4442.778,-4442.778,-4442.778,-4442.778,1.1846,,242.4375,242.4375,242.4375,242.4375,242.4375,242.4375,105.7689,105.7689,105.7689,105.7689,193.7194,193.7194,-100.2928,-100.2928,-100.2928,-100.2928,-100.2928,-100.2928,-2006.5086,,,,,-65.5819,-12043.269,-12043.269,-12043.269,-12043.269,-12043.269,-12043.269,-12043.269,,,,,,,,,,,,,,,,-112.935,-112.935,-164.9562,-164.9562,-164.9562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,-118.0062,,,139.8594,139.8594,139.8594,139.8594,126.0172,126.0172,71.4698,71.4698,71.4698,71.4698,71.4698,-22.2116,-58.6672,-58.6672,-58.6672,-58.6672,-18.706,-18.706,-18.6396,-18.6396,-18.6396,-18.6396,-18.6396,-22.9454,35.4497,35.4497,,,,,8.0212,8.0212,8.0212,8.0212,2.8725,,,,,-325.7691,-519.3828,-519.3828,-519.3828,-296.5143,-296.5143,-296.5143,-296.5143,-296.5143,-205.4795,227.7671,227.7671,227.7671,47.8344,47.8344,,-9.5515,-9.5515,-9.5515,-9.5515,-9.5515,-819.0276,-819.0276,-819.0276,-819.0276,-358.1189,-358.1189,-358.1189,-194.8771,-194.8771,-194.8771,-194.8771,-194.8771,,-124.4463,,,-271.0077,-271.0077,-204.4153,-204.4153,-204.4153,-204.4153,-204.4153,-204.4153,64.2934,64.2934,64.2934,64.2934,74.1568,74.1568,78.5853,78.5853
000009.SZ,-5.1398,-5.1398,-5.1398,52.5835,52.5835,52.5835,52.5835,145.5368,145.5368,144.3236,144.3236,144.3236,144.3236,144.3236,144.3236,29.6714,29.6714,29.6714,29.6714,-191.2749,-191.2749,-229.2536,-229.2536,-229.2536,-229.2536,-229.2536,-229.2536,266.8159,,,,,16.2487,102.5446,102.5446,,102.5446,102.5446,102.5446,-182.6886,-182.6886,-182.6886,,,9.8856,9.8856,-4060.2566,-4060.2566,-4060.2566,-4060.2566,-4060.2566,176.8406,176.8406,176.8406,176.8406,126.1161,126.1161,106.6986,106.6986,106.6986,106.6986,106.6986,106.6986,-25.4059,-25.4059,-25.4059,-25.4059,-13.5636,-13.5636,88.219,88.219,88.219,88.219,88.219,88.219,60.5826,60.5826,60.5826,60.5826,2450.2064,2450.2064,4181.27,4181.27,4181.27,4181.27,4181.27,4181.27,4181.27,243.3757,243.3757,243.3757,243.3757,54.8995,-32.3383,-32.3383
000010.SZ,,,,-402.5848,-402.5848,-402.5848,-402.5848,,,-170.7138,-170.7138,,,,,,,,,,,110.8275,110.8275,110.8275,110.8275,110.8275,110.8275,-1526.2555,-1526.2555,-1526.2555,-1526.2555,-1202.6228,-1202.6228,-17857.4565,-17857.4565,,,,,,,-252.8512,-252.8512,-402.1078,-402.1078,-306.8893,-306.8893,-306.8893,-306.8893,-306.8893,-306.8893,69.5037,69.5037,69.5037,69.5037,17.7183,17.7183,41.7893,41.7893,41.7893,41.7893,41.7893,41.7893,2697.8213,2697.8213,2697.8213,2697.8213,431.5928,431.5928,412.2118,412.2118,412.2118,412.2118,412.2118,412.2118,-110.6482,-110.6482,-110.6482,-110.6482,-110.6482,-109.1237,-112.1115,-112.1115,-112.1115,-112.1115,-112.1115,-112.1115,-142.263,26.9243,26.9243,26.9243,-98.9213,-98.9213,-98.9213,-34.8175
000011.SZ,-549.2666,-549.2666,-255.1513,164.4168,164.4168,164.4168,164.4168,176.4991,176.4991,176.4991,239.9271,239.9271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,-20.4997,-20.4997,-28.643,-36.9648,-36.9648,-36.9648,,-10.055,-10.055,12.2848,12.2848,12.2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,-1697.2196,-1697.2196,-489.2973,10.8457,10.8457,10.8457,10.8457,20.4275,20.4275,20.4275,33.3388,33.3388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
