code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,77.3559,77.3559,73.0924,45.5119,45.5119,45.5119,45.5119,44.8762,44.8762,15.3445,15.3445,15.3445,15.3445,15.3445,19.6337,2.6896,2.6896,2.6896,2.6896,16.8,16.8,19.8216,19.8216,19.8216,19.8216,19.8216,11.6551,40.8192,40.8192,40.8192,40.8192,27.2958,27.2958,34.982,34.982,34.982,34.982,34.982,16.2093,11.3771,11.3771,11.3771,11.3771,18.6927,18.6927,9.4806,9.4806,9.4806,9.4806,9.4806,0.4138,8.1187,8.1187,8.1187,8.1187,4.1974,4.1974,4.4192,4.4192,4.4192,4.4192,4.4192,-5.9394,2.1032,2.1032,2.1032,2.1032,2.1592,2.1592,2.6762,2.6762,2.6762,2.6762,2.6762,4.0206,6.1313,6.1313,6.1313,6.1313,6.8927,6.8927,7.3496,7.3496,7.3496,7.3496,7.3496,8.0773,12.9037,12.9037,12.9037,12.9037,17.4118,17.4118,16.0079,16.0079
000002.SZ,28.4296,28.4296,49.4477,28.6212,28.6212,28.6212,28.6212,45.6899,45.6899,88.6431,88.6431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,344.5487,344.5487,344.5487,56.8549,56.8549,56.8549,56.8549,132.9567,132.9567,-45.2447,-45.2447,-45.2447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,127.3715,-64.0618,-64.0618,208.5656,208.5656,208.5656,208.5656,1100.4536,,240.6683,240.6683,240.6683,240.6683,240.6683,240.6683,-3205.7079,-3205.7079,-3205.7079,-3205.7079,140.9088,140.9088,585.4597,585.4597,585.4597,585.4597,585.4597,585.4597,32.2417,,,,,-80.7254,-104.773,-104.773,-104.773,-104.773,-104.773,-104.773,-104.773,,,,,,,,,,,,,,,,259.3206,259.3206,297.6318,297.6318,297.6318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,-238.0616,,,89.4909,89.4909,89.4909,89.4909,219.2001,219.2001,133.8583,133.8583,133.8583,133.8583,133.8583,13.3984,-36.0637,-36.0637,-36.0637,-36.0637,-19.7718,-19.7718,-39.0112,-39.0112,-39.0112,-39.0112,-39.0112,-59.46,21.5902,21.5902,,,,,-82.3943,-82.3943,-82.3943,-82.3943,-135.0212,,,,,1072.2015,443.1155,443.1155,443.1155,2145.1427,2145.1427,2145.1427,2145.1427,2145.1427,4442.9796,-79.5468,-79.5468,-79.5468,46.3288,46.3288,,592.0621,592.0621,592.0621,592.0621,592.0621,-16.873,-16.873,-16.873,-16.873,74.6689,74.6689,74.6689,-59.4877,-59.4877,-59.4877,-59.4877,-59.4877,,8.2077,,,1.7962,1.7962,-5.8319,-5.8319,-5.8319,-5.8319,-5.8319,-5.8319,2.7303,2.7303,2.7303,2.7303,10.027,10.027,29.3788,29.3788
000009.SZ,-37.6398,-37.6398,-37.6398,-47.9656,-47.9656,-47.9656,-47.9656,-49.3985,-49.3985,-37.2151,-37.2151,-37.2151,-37.2151,-37.2151,-37.2151,5.4316,5.4316,5.4316,5.4316,-32.7425,-32.7425,859.4471,859.4471,859.4471,859.4471,859.4471,859.4471,49.4184,,,,,300.2882,-76.3819,-76.3819,,-76.3819,-76.3819,-76.3819,-13.6133,-13.6133,-13.6133,,,-36.9593,-36.9593,703.578,703.578,703.578,703.578,703.578,1.8531,1.8531,1.8531,1.8531,-24.0442,-24.0442,-72.9328,-72.9328,-72.9328,-72.9328,-72.9328,-72.9328,-18.0963,-18.0963,-18.0963,-18.0963,39.0225,39.0225,-7.7814,-7.7814,-7.7814,-7.7814,-7.7814,-7.7814,-10.18,-10.18,-10.18,-10.18,11.5332,11.5332,-76.866,-76.866,-76.866,-76.866,-76.866,-76.866,-76.866,134.7789,134.7789,134.7789,134.7789,34.371,449.0271,449.0271
000010.SZ,,,,19.0498,19.0498,19.0498,19.0498,,,-158.9952,-158.9952,,,,,,,,,,,91.307,91.307,91.307,91.307,91.307,91.307,-1883.1563,-1883.1563,-1883.1563,-1883.1563,-120.5906,-120.5906,-1458.708,-1458.708,,,,,,,58.8588,58.8588,482.5147,482.5147,115.1673,115.1673,115.1673,115.1673,115.1673,115.1673,-1184.1373,-1184.1373,-1184.1373,-1184.1373,1571.5208,1571.5208,-533.8613,-533.8613,-533.8613,-533.8613,-533.8613,-533.8613,22.6229,22.6229,22.6229,22.6229,-134.6383,-134.6383,1369.1716,1369.1716,1369.1716,1369.1716,1369.1716,1369.1716,-82.8349,-82.8349,-82.8349,-82.8349,-82.8349,-86.6501,-278.796,-278.796,-278.796,-278.796,-278.796,-278.796,49.9554,142.3533,142.3533,142.3533,160.4096,160.4096,160.4096,165.7488
000011.SZ,-20.1597,-20.1597,-223.3313,-98.0813,-98.0813,-98.0813,-98.0813,451.4708,451.4708,451.4708,863.8728,863.8728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,-29.3211,-29.3211,-76.6578,-68.1222,-68.1222,-68.1222,,-67.8832,-67.8832,-40.9771,-40.9771,-40.9771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,173.9913,173.9913,66.1343,85.9082,85.9082,85.9082,85.9082,-142.8261,-142.8261,-142.8261,-157.8418,-157.8418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000016.SZ,136.1818,136.1818,136.1818,113.9445,113.9445,113.9445,113.9445,100.8418,100.8418,-87.6759,-87.6759,-87.6759,-87.6759,-87.6759,-87.6759,5.2851,5.2851,5.2851,5.2851,5.2851,2530.6745,-13.9161,-13.9161,-13.9161,-13.9161,-13.9161,-13.9161,-6.6384,-6.6384,-6.6384,-6.6384,44.5973,44.5973,-32.3999,-32.3999,-32.3999,-32.3999,-32.3999,-32.3999,-57.4549,,,,,-957.512,-16182.1759,-16182.1759,-16182.1759,-16182.1759,-16182.1759,,211.0554,211.0554,211.0554,211.0554,98.7841,98.7841,89.3251,89.3251,89.3251,89.3251,89.3251,89.3251,89.9865,89.9865,89.9865,89.9865,324.5435,324.5435,269.86,269.86,269.86,269.86,269.86,269.86,302.2372,302.2372,302.2372,302.2372,302.2372,3507.1222,3507.1222,69.7889,69.7889,69.7889,69.7889,-98.1949,-98.1949,51.7456,51.7456,51.7456,5.2399,5.2399,5.2399,-10.659
000017.SZ,55.5078,55.5078,55.5078,-29.8543,-29.8543,-29.8543,-29.8543,-145.6675,-145.6675,-242.9512,,,,,,,,,,,,,,,115.6371,115.6371,115.6371,101.6313,101.6313,101.6313,101.6313,171.8114,171.8114,-24.9289,-24.9289,-24.9289,-24.9289,-24.9289,-24.9289,-99.8953,-8.8632,-8.8632,-8.8632,-89.7696,-89.7696,-88.5965,-88.5965,-88.5965,-88.5965,-88.5965,-88.5965,-46.224,-46.224,-46.224,,55.3524,55.3524,1102.1145,1102.1145,1102.1145,1102.1145,,1102.1145,68.3815,68.3815,68.3815,68.3815,-911.4196,-911.4196,-78.471,-78.471,-78.471,-78.471,-78.471,-78.471,-43.1279,-43.1279,-43.1279,-43.1279,111.5997,111.5997,44.6796,44.6796,44.6796,44.6796,44.6796,44.6796,-197.6442,-337.8512,-337.8512,-337.8512,-310.2501,-310.2501,41.043,41.043
000018.SZ,-536.1667,-536.1667,-536.1667,94.392,94.392,94.392,94.392,3.6704,3.6704,51.6597,51.6597,51.6597,51.6597,51.6597,51.6597,-1042.282,-1042.282,-1042.282,-1042.282,63.0548,63.0548,282.9842,282.9842,282.9842,282.9842,282.9842,41.9858,57.0122,57.0122,,,,,-87.897,-87.897,-87.897,-87.897,-62.8447,-62.8447,-62.8447,,65.8569,65.8569,65.8569,-111.5639,-111.5639,62.7776,62.7776,62.7776,62.7776,62.7776,83.8991,58.6954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000019.SZ,964.9984,964.9984,964.9984,,,,43.6247,583.3844,583.3844,-112.5816,-112.5816,,,-112.5816,-112.5816,149.4723,149.4723,149.4723,149.4723,-106.791,-106.791,1849.0532,1849.0532,1849.0532,1849.0532,1849.0532,8.7068,-472.9249,-472.9249,-472.9249,-472.9249,-183.696,-183.696,-118.0016,-118.0016,-118.0016,-118.0016,-118.0016,-118.0016,-56.7934,-56.7934,-56.7934,-56.7934,173.4433,173.4433,-44.4902,-44.4902,-44.4902,-44.4902,-44.4902,-44.4902,22.5091,22.5091,22.5091,22.5091,-186.1089,-186.1089,3.2537,3.2537,3.2537,3.2537,3.2537,3.2537,-35.2369,-35.2369,-35.2369,-35.2369,,,,,,,,,-3.675,-3.675,-3.675,-3.675,18.4989,18.4989,-20.8445,-20.8445,-20.8445,-20.8445,-20.8445,-20.8445,-3.4928,-3.4928,-3.4928,-3.4928,16.5436,16.5436,40.1946,40.1946
000020.SZ,69.0179,69.0179,69.0179,41.6535,41.6535,41.6535,41.6535,-71.4358,-71.4358,37.9896,37.9896,37.9896,37.9896,37.9896,37.9896,-82.6966,-82.6966,-82.6966,-82.6966,-32.2652,-32.2652,-761.4629,-761.4629,-761.4629,-761.4629,-761.4629,-761.4629,,-15.0626,,,,,,,,,,,-26.352,-26.352,-26.352,,1695.8666,1695.8666,1350.3719,1350.3719,1350.3719,,,1350.3719,1350.3719,-8.1891,-8.1891,-8.1891,-8.1891,-50.2174,-147.5068,-147.5068,-147.5068,-147.5068,-147.5068,-147.5068,-10.3764,,,,,-74.6392,-74.6392,34.9367,34.9367,34.9367,34.9367,34.9367,-27.0211,-27.0211,-27.0211,-27.0211,44.0774,44.0774,-39.0859,-39.0859,-39.0859,-39.0859,-39.0859,-39.0859,-39.0859,-15.9854,-15.9854,-15.9854,-6.581,-6.581,131.8401,131.8401
