code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000002.SZ,2.3435,2.3435,6.3521,0.7212,0.7212,0.7212,0.7212,2.0649,2.0649,2.7443,2.7443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,5.0531,5.0531,5.0531,1.4917,1.4917,1.4917,1.4917,4.7229,4.7229,5.7,5.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,1.9629,4.0916,4.0916,0.4117,0.4117,0.4117,0.4117,2.1634,,3.3585,3.3585,3.3585,3.3585,3.3585,3.3585,-0.9427,-0.9427,-0.9427,-0.9427,0.3729,0.3729,6.8066,6.8066,6.8066,6.8066,6.8066,6.8066,-0.4279,,,,,-0.0168,0.084,0.084,0.084,0.084,0.084,0.084,0.084,,,,,,,,,,,,,,,,5.1313,5.1313,5.878,5.878,5.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,-0.6395,,,-0.201,-0.201,-0.201,-0.201,-0.5881,-0.5881,-0.9738,-0.9738,-0.9738,-0.9738,-0.9738,13.872,0.9141,0.9141,0.9141,0.9141,2.0071,2.0071,3.6742,3.6742,3.6742,3.6742,3.6742,4.432,1.0279,1.0279,,,,,2.58,2.58,2.58,2.58,2.5334,,,,,3.2221,4.9137,4.9137,4.9137,6.5351,6.5351,6.5351,6.5351,6.5351,10.9867,0.3112,0.3112,0.3112,1.0157,1.0157,,5.319,5.319,5.319,5.319,5.319,0.1762,0.1762,0.1762,0.1762,1.0099,1.0099,1.0099,2.0112,2.0112,2.0112,2.0112,2.0112,,0.1653,,,1.0613,1.0613,2.0322,2.0322,2.0322,2.0322,2.0322,2.0322,0.3002,0.3002,0.3002,0.3002,1.1272,1.1272,2.4706,2.4706
000009.SZ,4.8616,4.8616,4.8616,1.2082,1.2082,1.2082,1.2082,2.6657,2.6657,3.5944,3.5944,3.5944,3.5944,3.5944,3.5944,1.2681,1.2681,1.2681,1.2681,2.0672,2.0672,5.2342,5.2342,5.2342,5.2342,5.2342,5.2342,1.3419,,,,,3.2837,4.3233,4.3233,,4.3233,4.3233,4.3233,1.2153,1.2153,1.2153,,,2.3957,2.3957,7.9923,7.9923,7.9923,7.9923,7.9923,1.0666,1.0666,1.0666,1.0666,2.113,2.113,3.5521,3.5521,3.5521,3.5521,3.5521,3.5521,0.8867,0.8867,0.8867,0.8867,1.9046,1.9046,3.2742,3.2742,3.2742,3.2742,3.2742,3.2742,0.8182,0.8182,0.8182,0.8182,2.0646,2.0646,2.5245,2.5245,2.5245,2.5245,2.5245,2.5245,2.5245,1.2335,1.2335,1.2335,1.2335,2.6347,4.0702,4.0702
000010.SZ,,,,-1.3892,-1.3892,-1.3892,-1.3892,,,-3.1356,-3.1356,,,,,,,,,,,1.2899,1.2899,1.2899,1.2899,1.2899,1.2899,-0.8455,-0.8455,-0.8455,-0.8455,-1.066,-1.066,-2.0718,-2.0718,,,,,,,0.0187,0.0187,0.8044,0.8044,1.2882,1.2882,1.2882,1.2882,1.2882,1.2882,-0.0917,-0.0917,-0.0917,-0.0917,1.7746,1.7746,2.4373,2.4373,2.4373,2.4373,2.4373,2.4373,-0.3002,-0.3002,-0.3002,-0.3002,-0.6024,-0.6024,1.8193,1.8193,1.8193,1.8193,1.8193,1.8193,-1.1499,-1.1499,-1.1499,-1.1499,-1.1499,-2.1541,-3.6005,-3.6005,-3.6005,-3.6005,-3.6005,-3.6005,-20.6837,0.7842,0.7842,0.7842,3.3339,3.3339,3.3339,6.8821
000011.SZ,13.16,13.16,10.9421,0.1673,0.1673,0.1673,0.1673,3.4915,3.4915,3.4915,5.8998,5.8998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,11.6518,11.6518,12.9618,1.5605,1.5605,1.5605,,3.1074,3.1074,5.1038,5.1038,5.1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,2.2683,2.2683,5.4256,0.3217,0.3217,0.3217,0.3217,0.2212,0.2212,0.2212,0.1198,0.1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
