code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,-25.1203,-25.1203,-25.4867,-33.1958,-33.1958,-33.1958,-33.1958,-31.7007,-31.7007,13.5968,13.5968,13.5968,13.5968,13.5968,12.729,-9.4167,-9.4167,-9.4167,-9.4167,-2.8783,-2.8783,-1.6305,-1.6305,-1.6305,-1.6305,-1.6305,-14.0224,6.5556,6.5556,6.5556,6.5556,1.231,1.231,0.4898,0.4898,0.4898,0.4898,0.4898,11.2783,-4.4319,-4.4319,-4.4319,-4.4319,-7.8026,-7.8026,-8.8316,-8.8316,-8.8316,-8.8316,-8.8316,-10.4697,-21.201,-21.201,-21.201,-21.201,-16.4905,-16.4905,-16.3551,-16.3551,-16.3551,-16.3551,-16.3551,-17.4355,-7.8103,-7.8103,-7.8103,-7.8103,-7.4096,-7.4096,-7.0089,-7.0089,-7.0089,-7.0089,-7.0089,-6.5772,-1.3048,-1.3048,-1.3048,-1.3048,-1.2751,-1.2751,-0.97,-0.97,-0.97,-0.97,-0.97,-0.9952,0.5096,0.5096,0.5096,0.5096,2.4119,2.4119,-5.7091,-5.7091
000002.SZ,-5.9774,-5.9774,10.3592,-2.9742,-2.9742,-2.9742,-2.9742,4.898,4.898,18.0195,18.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,62.2346,62.2346,62.2346,29.0264,29.0264,29.0264,29.0264,64.5972,64.5972,6.4389,6.4389,6.4389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,,,,,,,,897.5114,,6360.1354,6360.1354,6360.1354,6360.1354,6360.1354,6360.1354,-1956.1292,-1956.1292,-1956.1292,-1956.1292,-79.9933,-79.9933,254.5222,254.5222,254.5222,254.5222,254.5222,254.5222,44.9602,,,,,-331.3863,-113.4143,-113.4143,-113.4143,-113.4143,-113.4143,-113.4143,-113.4143,,,,,,,,,,,,,,,,233.2867,233.2867,232.1807,232.1807,232.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,-599.569,,,89.4754,89.4754,89.4754,89.4754,115.4786,115.4786,119.5212,119.5212,119.5212,119.5212,119.5212,9.1509,1959.5406,1959.5406,1959.5406,1959.5406,2564.6332,2564.6332,2519.304,2519.304,2519.304,2519.304,2519.304,-44.1873,16.5394,16.5394,,,,,-44.1414,-44.1414,-44.1414,-44.1414,-66.3319,,,,,140.726,66.2192,66.2192,66.2192,99.5175,99.5175,99.5175,99.5175,99.5175,369.6225,-89.8168,-89.8168,-89.8168,-70.2951,-70.2951,,9.8241,9.8241,9.8241,9.8241,9.8241,-26.4774,-26.4774,-26.4774,-26.4774,21.3343,21.3343,21.3343,-47.7208,-47.7208,-47.7208,-47.7208,-47.7208,,-2.9742,,,-3.5205,-3.5205,-10.9219,-10.9219,-10.9219,-10.9219,-10.9219,-10.9219,8.4846,8.4846,8.4846,8.4846,4.3943,4.3943,18.4091,18.4091
000009.SZ,-16.0414,-16.0414,-16.0414,-69.0536,-69.0536,-69.0536,-69.0536,-77.3701,-77.3701,-76.6189,-76.6189,-76.6189,-76.6189,-76.6189,-76.6189,-31.6766,-31.6766,-31.6766,-31.6766,-44.4461,-44.4461,359.4598,359.4598,359.4598,359.4598,359.4598,359.4598,175.2677,,,,,565.5938,-18.5494,-18.5494,,-18.5494,-18.5494,-18.5494,-35.2086,-35.2086,-35.2086,,,-53.9207,-53.9207,98.1023,98.1023,98.1023,98.1023,98.1023,-54.761,-54.761,-54.761,-54.761,-49.6482,-49.6482,-69.5234,-69.5234,-69.5234,-69.5234,-69.5234,-69.5234,9.5461,9.5461,9.5461,9.5461,10.6197,10.6197,-16.2827,-16.2827,-16.2827,-16.2827,-16.2827,-16.2827,-4.8807,-4.8807,-4.8807,-4.8807,28.0794,28.0794,-50.0678,-50.0678,-50.0678,-50.0678,-50.0678,-50.0678,-50.0678,77.7303,77.7303,77.7303,77.7303,14.2743,92.1682,92.1682
000010.SZ,,,,40.7929,40.7929,40.7929,40.7929,,,-2838.9502,-2838.9502,,,,,,,,,,,111.4322,111.4322,111.4322,111.4322,111.4322,111.4322,90.6412,90.6412,90.6412,90.6412,-185.7489,-185.7489,-261.5058,-261.5058,,,,,,,57.3688,57.3688,128.4061,128.4061,122.128,122.128,122.128,122.128,122.128,122.128,-282.9739,-282.9739,-282.9739,-282.9739,303.0778,303.0778,98.3574,98.3574,98.3574,98.3574,98.3574,98.3574,23.6964,23.6964,23.6964,23.6964,-275.6138,-275.6138,-42.995,-42.995,-42.995,-42.995,-42.995,-42.995,-260.9017,-260.9017,-260.9017,-260.9017,-260.9017,-277.7127,-3596.6927,-3596.6927,-3596.6927,-3596.6927,-3596.6927,-3596.6927,-89.7086,116.236,116.236,116.236,130.0368,130.0368,130.0368,149.6993
000011.SZ,52.9181,52.9181,13.7912,-98.0411,-98.0411,-98.0411,-98.0411,-68.6024,-68.6024,-68.6024,-48.296,-48.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,-6.3255,-6.3255,-25.1989,-71.7545,-71.7545,-71.7545,,-71.8346,-71.8346,-64.5517,-64.5517,-64.5517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,-68.6312,-68.6312,-25.7067,78.5727,78.5727,78.5727,78.5727,-359.2724,-359.2724,-359.2724,-208.4491,-208.4491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
