code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,76.25763911230185,21.208789599567098,15.040504495892163,30.71050606919436,26.79963321296193,37.9654938221771,30.992351655904056,24.09300846396909,35.27570864451042,20.33039471198465,22.64320743931965,62.89141639858831,72.5061056264022,52.85535315821954,16.41594219575218,9.250335955935345,29.906994571207655,16.27466570620852,45.60211411836953,40.5910785980019,50.90648943537926,48.66423119031545,26.753096941720685,33.97587948711535,17.129059629252144,22.45215679247949,41.33146723849793,37.929177635640606,29.40495402789954,59.27615432878803,63.58315533853861,15.464274760095751,20.12430312024607,77.663123767247,64.36244278571273,32.73672927641073,23.851910495078428,39.14488117670463,66.4443715039408,56.92547574946844,26.55274233679123,34.09956745918584,17.85150139199922,36.066403633340734,14.79788414542646,58.963027642051664,37.15001363418346,18.029231799539748,10.872430014869543,14.338878152851104,23.98149753520807,40.06732577090234,41.0329710208447,32.026097975558834,37.79938181931117,22.333465249415703,18.475980512274152,42.412819312304215,44.75355726238618,15.157632348726487,56.13617967283509,53.28047852225303,22.751116078664342,28.157563449161632,48.62471675187249,24.13658203234265,54.982993891258246,38.57238680047264,14.64828317400212,38.9713130012593,46.251435396463485,30.15124082324486,46.07039760931678,17.127396714022446,19.266024835769244,32.99273464419746,22.286380186957825,25.671610186542186,54.690731522535216,64.2053918144747,69.08758992745467,49.88201492766473,21.80246690752444,12.687693529347518,28.64054632185765,32.306661430923114,32.594569922573314,38.2610827508635,9.229474357893125,67.2661821171823,50.48343035915588,23.50683836844464,38.27978662438005,35.383367935828666,17.635141289646036
000002.SZ,47.76795657123833,41.78496295763615,25.83630713970273,66.37131020989123,30.937523929563188,26.04821599561087,48.856725395390136,20.14689931625652,27.729800224773268,16.11989921483164,54.34151432011303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,52.18426798433094,47.45283208178843,53.0081990238934,43.577570025264,31.279910244041503,26.829460479538348,24.134152439385826,20.431130783310333,28.247678294641386,35.12293347778139,16.708297606070367,55.92691049033953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,65.38899103661981,60.038438472519886,35.66176382817565,41.50409855473158,26.00268863404906,28.887931099324664,51.93071533610222,22.58472697315209,,51.03828396635917,14.106150712596214,63.8771376219211,59.77612776997222,48.46528773317489,17.082133265944478,29.36722163684729,25.55443448598514,10.683559301078033,38.0468502509075,41.85848705027619,26.027633877456434,36.78606436402825,30.666429334734016,35.108413720842265,35.54270368457214,16.327094494114487,9.039173242152437,44.13272408026307,,,,,64.58233863922797,41.53967761720087,29.90279924917768,47.59838466016588,39.3788282287342,25.46299205471957,69.55968051044213,73.37197199917203,,,,,,,,,,,,,,,,49.36728661106985,39.27375111660521,21.175290012253956,17.447074407209097,48.85205181093133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,48.08602664655275,,,17.85100697174407,47.09888222111845,42.99363836786191,13.275601699729044,45.78739989650409,28.794581934988543,17.776151381906125,23.84962371065089,40.37093710900436,53.57046596555408,47.861231153471984,38.28845423194008,26.21769764165361,69.23704925874125,34.09649573729727,42.00829409952368,27.79554126593561,32.45545737458273,28.989454186823583,36.0731029352176,28.017012580835026,37.15330175561969,41.200876590106105,40.37997308343643,33.49788617396239,8.046919831589882,,,,,31.639973198353875,63.943825900330914,26.566599598945324,47.30776296894837,51.22148622333299,,,,,49.20126419252527,24.14603289662229,21.393582122944032,53.79343205382472,34.08107740896449,45.70618719358176,12.592509208003172,10.62681097205878,47.43518450006242,44.26890539095518,45.20819451437348,44.77026776069657,15.429269990892536,19.88351135668333,41.63218444959959,,37.946858539638725,26.57905531749628,29.803980626772763,29.56591992454269,33.57214525423518,17.522637266232586,15.10580086539395,48.78739196320742,35.05522096313615,61.49878962863277,52.02877203354151,37.67503172574899,23.48653608066588,42.37359208309717,20.62006539727703,24.565188505442112,5.58483699709548,,27.859336261407663,,,29.506411070690994,56.73484237693389,33.22943186405284,12.897904299347646,17.06721221271054,14.76257012514076,81.73937802132433,41.21518271282753,16.303281377467126,8.980959464701753,32.61831543687749,33.893301990935925,31.69590300563453,33.28822932897246,35.73641520687304,42.24457619000018
000009.SZ,27.85056288994742,15.679575936513327,14.030049675711105,21.91628986955133,38.660189447676814,22.66826516218166,26.24370811685391,29.40631201383333,38.2567707099174,20.195567370079843,11.166839065662016,68.65677796098704,55.50336439271396,28.442126018639783,28.193889563845847,12.16161721835296,42.56180087127534,22.416861254829573,39.73169690076306,36.1570182008585,31.247773266995218,33.78523734131213,57.826711099525845,45.66525865415066,26.235802346360465,62.18067981368873,16.20882596637369,27.764523172265857,,,,,39.44570093293501,29.42704717200541,52.78175739627247,,49.151255465272975,51.930009126975655,32.50408184270823,65.56821201064588,43.123564088385606,19.116078904656572,,,19.18475510658285,59.85932208639618,44.253446240442464,32.51293313948963,12.034654770649643,13.096133296001414,43.23823262368311,29.652647956253976,29.64193641432429,31.5607956215842,32.83045134229063,45.8104610521325,28.956685612754928,29.148406909053296,37.20452266960796,18.846556892349685,13.856954864010689,45.67536219863183,22.817741790937323,10.451901784549404,13.224680853207133,50.75486582436201,60.780682936792616,15.545968146821044,33.34141108542172,22.68876807607344,21.455831296151043,16.443122161114477,8.59144205654525,34.91472362819701,39.0975452733406,28.073661645746977,30.881775567967047,21.860405991295355,32.48822034863089,20.59806522113538,51.97683001355635,25.23506562147171,35.082405619047506,16.251191750039823,12.692948048162602,67.20245958162278,50.97915732282889,29.030759079063145,19.890939932860903,33.901972031662815,39.50504784423208,28.483073810101818,16.468703378338144,29.981657345928216,40.64843405779934
000010.SZ,,,,28.353179903198825,64.46578943125171,54.51747887180016,35.54789107162457,,,25.05729169008088,48.759463792608045,,,,,,,,,,,40.70063065046375,34.61097088265215,60.74473651437485,29.096506177151674,37.45034131302764,15.906975111203057,33.176809480079896,15.171602792991196,65.40001999950998,30.4765567047654,46.27975610689202,22.376123232491192,36.55776033498453,29.579691497832503,,,,,,,21.15652517486894,26.549651441522464,26.61492243399024,16.63109344253266,64.38819566332387,51.24665211847609,18.1625057791234,18.84833409577259,16.689814258330042,18.64837468139763,56.05506269120521,29.36757145788452,53.09889130680301,27.135634754938547,53.37116699144331,47.0208780250786,9.658638751704794,35.21065738420291,41.88833443849555,23.143056321448007,44.590526517292936,19.10294976076351,17.25650543849962,16.233778809603304,30.844432039986835,36.127953700192215,56.24841267818301,64.52450001376297,43.64411072498413,20.848360751193564,37.58375591912432,24.07774298262504,37.58452511822064,24.550065140535175,13.856697247912434,19.53131194464574,30.96140701689752,60.09555456518013,34.7150838753586,50.138740464073,25.663860245467564,37.13128701171449,10.222651907598744,25.63830880202068,45.58380406720854,30.62749738545361,30.42772771767013,28.480073809684963,18.8361628516394,30.83395618428304,37.19543957979527,23.01535048150856,45.22010957453986,9.7254514902367
000011.SZ,26.173773758625835,48.75985161541816,9.327535552223829,44.9311751902388,26.190358885899197,36.31084273597856,11.510572046162928,30.64888015481416,29.223577766257268,28.07064111078279,14.030292912588752,54.33071282408075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,41.21554719452182,27.142150737146185,23.817868177131064,21.884435351010502,58.23010278859789,23.936661706531734,,11.66250909762749,30.070981999927263,20.89537540095225,39.47764997650415,53.691688259390624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,41.617728030179336,44.86565684568141,17.053970282474666,41.15643527547061,31.682325052814488,63.4793770131037,10.558022963063376,38.36693861504035,39.00665539930588,29.09650225067652,9.200641441465716,67.07051087513841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
