code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,83.7062,83.7062,84.944,67.2195,67.2195,67.2195,67.2195,56.6165,56.6165,15.6701,15.6701,15.6701,15.6701,15.6701,14.2626,11.086,11.086,11.086,11.086,27.4894,27.4894,40.525,40.525,40.525,40.525,40.525,45.273,49.0465,49.0465,49.0465,49.0465,47.5998,47.5998,43.0994,43.0994,43.0994,43.0994,43.0994,26.3541,28.3913,28.3913,28.3913,28.3913,39.0222,39.0222,23.3909,23.3909,23.3909,23.3909,23.3909,33.3493,33.1914,33.1914,33.1914,33.1914,5.1459,5.1459,10.6685,10.6685,10.6685,10.6685,10.6685,2.9427,0.6538,0.6538,0.6538,0.6538,-3.2162,-3.2162,-5.2906,-5.2906,-5.2906,-5.2906,-5.2906,0.8001,1.082,1.082,1.082,1.082,10.9023,10.9023,14.2064,14.2064,14.2064,14.2064,14.2064,15.7895,15.8781,15.8781,15.8781,15.8781,21.0098,21.0098,19.393,19.393
000002.SZ,66.0022,66.0022,49.9091,29.8065,29.8065,29.8065,29.8065,69.5464,69.5464,65.3005,65.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,119.2251,119.2251,119.2251,-8.4753,-8.4753,-8.4753,-8.4753,85.6646,85.6646,-20.8359,-20.8359,-20.8359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,15.8434,17.0052,17.0052,30.3342,30.3342,30.3342,30.3342,56.9396,,148.0515,148.0515,148.0515,148.0515,148.0515,148.0515,-32.6449,-32.6449,-32.6449,-32.6449,-41.6738,-41.6738,-64.7106,-64.7106,-64.7106,-64.7106,-64.7106,-64.7106,-0.204,,,,,-21.7041,32.6086,32.6086,32.6086,32.6086,32.6086,32.6086,32.6086,,,,,,,,,,,,,,,,-70.8988,-70.8988,-64.335,-64.335,-64.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,-21.4547,,,-34.3358,-34.3358,-34.3358,-34.3358,-71.7023,-71.7023,-18.7593,-18.7593,-18.7593,-18.7593,-18.7593,9.0812,-5.1947,-5.1947,-5.1947,-5.1947,-3.2433,-3.2433,-8.4922,-8.4922,-8.4922,-8.4922,-8.4922,-14.6738,-1.8177,-1.8177,,,,,4.0833,4.0833,4.0833,4.0833,4.3894,,,,,225.1862,264.2028,264.2028,264.2028,218.4228,218.4228,218.4228,218.4228,218.4228,568.242,-7.8646,-7.8646,-7.8646,50.5497,50.5497,,48.0176,48.0176,48.0176,48.0176,48.0176,-4.7968,-4.7968,-4.7968,-4.7968,-9.2187,-9.2187,-9.2187,4.898,4.898,4.898,4.898,4.898,,3.2369,,,42.3543,42.3543,36.2347,36.2347,36.2347,36.2347,36.2347,36.2347,47.7124,47.7124,47.7124,47.7124,19.7481,19.7481,12.1313,12.1313
000009.SZ,15.8421,15.8421,15.8421,12.0012,12.0012,12.0012,12.0012,17.1946,17.1946,29.9011,29.9011,29.9011,29.9011,29.9011,29.9011,33.2898,33.2898,33.2898,33.2898,-26.2493,-26.2493,5.2747,5.2747,5.2747,5.2747,5.2747,5.2747,-20.3231,,,,,2.8486,-2.6854,-2.6854,,-2.6854,-2.6854,-2.6854,15.1639,15.1639,15.1639,,,6.01,6.01,34.0505,34.0505,34.0505,34.0505,34.0505,52.7519,52.7519,52.7519,52.7519,29.602,29.602,22.7169,22.7169,22.7169,22.7169,22.7169,22.7169,-8.2035,-8.2035,-8.2035,-8.2035,18.2329,18.2329,38.6746,38.6746,38.6746,38.6746,38.6746,38.6746,59.543,59.543,59.543,59.543,38.5341,38.5341,19.5172,19.5172,19.5172,19.5172,19.5172,19.5172,19.5172,10.8261,10.8261,10.8261,10.8261,57.6172,23.9046,23.9046
000010.SZ,,,,46.3858,46.3858,46.3858,46.3858,,,-47.164,-47.164,,,,,,,,,,,182.1749,182.1749,182.1749,182.1749,182.1749,182.1749,-38.3798,-38.3798,-38.3798,-38.3798,-9.8672,-9.8672,-67.0816,-67.0816,,,,,,,288.3089,288.3089,273.601,273.601,494.7889,494.7889,494.7889,494.7889,494.7889,494.7889,-20.72,-20.72,-20.72,-20.72,73.6803,73.6803,3.7933,3.7933,3.7933,3.7933,3.7933,3.7933,-13.4044,-13.4044,-13.4044,-13.4044,-61.6958,-61.6958,149.1298,149.1298,149.1298,149.1298,149.1298,149.1298,-22.8695,-22.8695,-22.8695,-22.8695,-22.8695,-84.238,-78.2266,-78.2266,-78.2266,-78.2266,-78.2266,-78.2266,34.0759,146.4919,146.4919,146.4919,929.3258,929.3258,929.3258,665.0224
000011.SZ,5.0188,5.0188,-25.8566,-87.4462,-87.4462,-87.4462,-87.4462,180.2021,180.2021,180.2021,179.5089,179.5089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,-0.2836,-0.2836,-22.1078,-27.3057,-27.3057,-27.3057,,-22.2408,-22.2408,-5.8006,-5.8006,-5.8006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,110.2842,110.2842,-44.0391,-8.099,-8.099,-8.099,-8.099,-71.4655,-71.4655,-71.4655,-30.4266,-30.4266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
