code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000002.SZ,0.1742,0.1742,0.1706,0.1921,0.1921,0.1921,0.1921,0.2165,0.2165,0.1426,0.1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,0.1203,0.1203,0.1203,0.101,0.101,0.101,0.101,0.1983,0.1983,0.34,0.34,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,1.544,1.5036,1.5036,0.5982,0.5982,0.5982,0.5982,0.6134,,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.3006,0.3006,0.3006,0.3006,0.2471,0.2471,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.5197,,,,,0.2623,0.0095,0.0095,0.0095,0.0095,0.0095,0.0095,0.0095,,,,,,,,,,,,,,,,0.3509,0.3509,0.2084,0.2084,0.2084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,11.279,,,13.0713,13.0713,13.0713,13.0713,12.4499,12.4499,11.7618,11.7618,11.7618,11.7618,11.7618,1.4819,2.2063,2.2063,2.2063,2.2063,2.5788,2.5788,1.9737,1.9737,1.9737,1.9737,1.9737,2.3223,2.6483,2.6483,,,,,2.1952,2.1952,2.1952,2.1952,2.4365,,,,,0.9752,0.5368,0.5368,0.5368,0.523,0.523,0.523,0.523,0.523,0.7129,1.002,1.002,1.002,0.8759,0.8759,,1.0617,1.0617,1.0617,1.0617,1.0617,0.5262,0.5262,0.5262,0.5262,0.5605,0.5605,0.5605,0.3476,0.3476,0.3476,0.3476,0.3476,,0.2931,,,0.3719,0.3719,0.2531,0.2531,0.2531,0.2531,0.2531,0.2531,0.2631,0.2631,0.2631,0.2631,0.2564,0.2564,0.1748,0.1748
000009.SZ,0.4542,0.4542,0.4542,0.272,0.272,0.272,0.272,0.2899,0.2899,0.4101,0.4101,0.4101,0.4101,0.4101,0.4101,0.2816,0.2816,0.2816,0.2816,0.2431,0.2431,0.2883,0.2883,0.2883,0.2883,0.2883,0.2883,0.341,,,,,0.3641,0.2809,0.2809,,0.2809,0.2809,0.2809,0.2951,0.2951,0.2951,,,0.2491,0.2491,0.4232,0.4232,0.4232,0.4232,0.4232,0.4518,0.4518,0.4518,0.4518,0.3625,0.3625,0.2558,0.2558,0.2558,0.2558,0.2558,0.2558,0.2169,0.2169,0.2169,0.2169,0.2642,0.2642,0.4135,0.4135,0.4135,0.4135,0.4135,0.4135,0.296,0.296,0.296,0.296,0.366,0.366,0.3551,0.3551,0.3551,0.3551,0.3551,0.3551,0.3551,0.3985,0.3985,0.3985,0.3985,0.4732,0.3944,0.3944
000010.SZ,,,,0.0638,0.0638,0.0638,0.0638,,,0.0702,0.0702,,,,,,,,,,,1.104,1.104,1.104,1.104,1.104,1.104,2.447,2.447,2.447,2.447,2.27,2.27,2.256,2.256,,,,,,,1.7431,1.7431,0.2883,0.2883,0.179,0.179,0.179,0.179,0.179,0.179,0.4024,0.4024,0.4024,0.4024,0.3272,0.3272,0.2697,0.2697,0.2697,0.2697,0.2697,0.2697,0.322,0.322,0.322,0.322,0.2502,0.2502,0.2402,0.2402,0.2402,0.2402,0.2402,0.2402,0.2158,0.2158,0.2158,0.2158,0.2158,0.1018,0.0451,0.0451,0.0451,0.0451,0.0451,0.0451,0.0332,0.0457,0.0457,0.0457,0.1,0.1,0.1,0.0526
000011.SZ,0.2226,0.2226,0.2071,0.1982,0.1982,0.1982,0.1982,0.2879,0.2879,0.2879,0.34,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,0.2188,0.2188,0.1451,0.1322,0.1322,0.1322,,0.1009,0.1009,0.134,0.134,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,0.3307,0.3307,0.3556,0.2886,0.2886,0.2886,0.2886,0.2392,0.2392,0.2392,0.1215,0.1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
