code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,16.8401,16.8401,16.6909,17.3259,17.3259,17.3259,17.3259,18.6741,18.6741,18.0793,18.0793,18.0793,18.0793,18.0793,18.9451,20.4065,20.4065,20.4065,20.4065,19.9581,19.9581,19.5507,19.5507,19.5507,19.5507,19.5507,16.8782,17.8782,17.8782,17.8782,17.8782,17.6657,17.6657,16.9199,16.9199,16.9199,16.9199,16.9199,16.697,16.8597,16.8597,16.8597,16.8597,17.0366,17.0366,16.5401,16.5401,16.5401,16.5401,16.5401,15.5241,14.2943,14.2943,14.2943,14.2943,14.6113,14.6113,14.0809,14.0809,14.0809,14.0809,14.0809,14.6086,14.4709,14.4709,14.4709,14.4709,14.6233,14.6233,14.3848,14.3848,14.3848,14.3848,14.3848,14.6293,14.945,14.945,14.945,14.945,14.7601,14.7601,14.2501,14.2501,14.2501,14.2501,14.2501,14.2416,14.0679,14.0679,14.0679,14.0679,13.9935,13.9935,12.8707,12.8707
000002.SZ,4.7555,4.7555,4.3668,4.4912,4.4912,4.4912,4.4912,4.7312,4.7312,4.8544,4.8544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,2.7635,2.7635,2.7635,2.7683,2.7683,2.7683,2.7683,2.6062,2.6062,2.7862,2.7862,2.7862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,1.1461,1.2398,1.2398,1.4551,1.4551,1.4551,1.4551,1.4433,,2.4184,2.4184,2.4184,2.4184,2.4184,2.4184,2.2885,2.2885,2.2885,2.2885,2.701,2.701,1.9271,1.9271,1.9271,1.9271,1.9271,1.9271,2.0008,,,,,1.7881,1.7417,1.7417,1.7417,1.7417,1.7417,1.7417,1.7417,,,,,,,,,,,,,,,,1.2847,1.2847,1.2226,1.2226,1.2226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,1.046,,,1.0439,1.0439,1.0439,1.0439,1.0453,1.0453,1.0447,1.0447,1.0447,1.0447,1.0447,1.135,1.112,1.112,1.112,1.112,1.1067,1.1067,1.1113,1.1113,1.1113,1.1113,1.1113,1.1119,1.1037,1.1037,,,,,1.1203,1.1203,1.1203,1.1203,1.1265,,,,,1.1842,1.1751,1.1751,1.1751,1.1927,1.1927,1.1927,1.1927,1.1927,1.2343,1.2025,1.2025,1.2025,1.2147,1.2147,,1.2232,1.2232,1.2232,1.2232,1.2232,1.2886,1.2886,1.2886,1.2886,1.347,1.347,1.347,1.4995,1.4995,1.4995,1.4995,1.4995,,1.3777,,,1.3741,1.3741,1.3774,1.3774,1.3774,1.3774,1.3774,1.3774,1.4174,1.4174,1.4174,1.4174,1.4066,1.4066,1.4518,1.4518
000009.SZ,2.8169,2.8169,2.8169,2.8746,2.8746,2.8746,2.8746,2.8604,2.8604,2.8985,2.8985,2.8985,2.8985,2.8985,2.8985,2.7531,2.7531,2.7531,2.7531,2.7966,2.7966,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7744,,,,,2.5909,2.5485,2.5485,,2.5485,2.5485,2.5485,2.6904,2.6904,2.6904,,,2.7007,2.7007,2.5721,2.5721,2.5721,2.5721,2.5721,2.7735,2.7735,2.7735,2.7735,2.6729,2.6729,2.6775,2.6775,2.6775,2.6775,2.6775,2.6775,2.7307,2.7307,2.7307,2.7307,2.6557,2.6557,2.6383,2.6383,2.6383,2.6383,2.6383,2.6383,2.7433,2.7433,2.7433,2.7433,2.8462,2.8462,2.8866,2.8866,2.8866,2.8866,2.8866,2.8866,2.8866,2.9128,2.9128,2.9128,2.9128,2.8822,2.874,2.874
000010.SZ,,,,2.4921,2.4921,2.4921,2.4921,,,3.0097,3.0097,,,,,,,,,,,1.6458,1.6458,1.6458,1.6458,1.6458,1.6458,1.2719,1.2719,1.2719,1.2719,1.2831,1.2831,1.2672,1.2672,,,,,,,1.5878,1.5878,3.415,3.415,3.4411,3.4411,3.4411,3.4411,3.4411,3.4411,2.0769,2.0769,2.0769,2.0769,2.1531,2.1531,2.123,2.123,2.123,2.123,2.123,2.123,1.7386,1.7386,1.7386,1.7386,1.776,1.776,1.8148,1.8148,1.8148,1.8148,1.8148,1.8148,2.5482,2.5482,2.5482,2.5482,2.5482,2.4154,3.3844,3.3844,3.3844,3.3844,3.3844,3.3844,5.5403,4.1289,4.1289,4.1289,4.3603,4.3603,4.3603,5.9029
000011.SZ,2.8262,2.8262,3.094,3.1261,3.1261,3.1261,3.1261,2.9719,2.9719,2.9719,3.1325,3.1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,2.0578,2.0578,2.0916,1.9469,1.9469,1.9469,,2.0399,2.0399,2.0042,2.0042,2.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,2.7625,2.7625,2.9745,2.9435,2.9435,2.9435,2.9435,3.0108,3.0108,3.0108,3.0596,3.0596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
