code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000002.SZ,35.0644,35.0644,38.354,41.7906,41.7906,41.7906,41.7906,34.9654,34.9654,37.6115,37.6115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,57.8926,57.8926,57.8926,44.3105,44.3105,44.3105,44.3105,40.4477,40.4477,35.0821,35.0821,35.0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,76.0523,80.0958,80.0958,69.4746,69.4746,69.4746,69.4746,57.1997,,34.9665,34.9665,34.9665,34.9665,34.9665,34.9665,70.3986,70.3986,70.3986,70.3986,78.6538,78.6538,78.8612,78.8612,78.8612,78.8612,78.8612,78.8612,78.7598,,,,,79.9157,60.7183,60.7183,60.7183,60.7183,60.7183,60.7183,60.7183,,,,,,,,,,,,,,,,69.5051,69.5051,70.6744,70.6744,70.6744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,31.7079,,,35.6168,35.6168,35.6168,35.6168,28.3609,28.3609,33.2581,33.2581,33.2581,33.2581,33.2581,49.3737,43.3183,43.3183,43.3183,43.3183,46.0051,46.0051,44.0564,44.0564,44.0564,44.0564,44.0564,47.3698,43.353,43.353,,,,,46.3617,46.3617,46.3617,46.3617,43.8013,,,,,45.5088,42.5096,42.5096,42.5096,51.2007,51.2007,51.2007,51.2007,51.2007,48.994,47.8978,47.8978,47.8978,49.2979,49.2979,,54.0115,54.0115,54.0115,54.0115,54.0115,39.2168,39.2168,39.2168,39.2168,50.1769,50.1769,50.1769,55.3069,55.3069,55.3069,55.3069,55.3069,,57.7922,,,48.4381,48.4381,45.2374,45.2374,45.2374,45.2374,45.2374,45.2374,53.0718,53.0718,53.0718,53.0718,55.1995,55.1995,51.5348,51.5348
000009.SZ,41.1944,41.1944,41.1944,39.5119,39.5119,39.5119,39.5119,34.4134,34.4134,36.3766,36.3766,36.3766,36.3766,36.3766,36.3766,37.8179,37.8179,37.8179,37.8179,39.6132,39.6132,33.0266,33.0266,33.0266,33.0266,33.0266,33.0266,34.3138,,,,,36.8268,36.2095,36.2095,,36.2095,36.2095,36.2095,34.1778,34.1778,34.1778,,,36.4208,36.4208,31.8556,31.8556,31.8556,31.8556,31.8556,35.1916,35.1916,35.1916,35.1916,31.581,31.581,30.6167,30.6167,30.6167,30.6167,30.6167,30.6167,33.186,33.186,33.186,33.186,36.0066,36.0066,34.2304,34.2304,34.2304,34.2304,34.2304,34.2304,39.263,39.263,39.263,39.263,32.7477,32.7477,34.5048,34.5048,34.5048,34.5048,34.5048,34.5048,34.5048,35.7719,35.7719,35.7719,35.7719,36.0791,36.0266,36.0266
000010.SZ,,,,44.7984,44.7984,44.7984,44.7984,,,32.0446,32.0446,,,,,,,,,,,32.05,32.05,32.05,32.05,32.05,32.05,17.8057,17.8057,17.8057,17.8057,20.3776,20.3776,33.5429,33.5429,,,,,,,15.6561,15.6561,13.7435,13.7435,18.3367,18.3367,18.3367,18.3367,18.3367,18.3367,26.8444,26.8444,26.8444,26.8444,28.24,28.24,29.3889,29.3889,29.3889,29.3889,29.3889,29.3889,22.3979,22.3979,22.3979,22.3979,28.1047,28.1047,32.4717,32.4717,32.4717,32.4717,32.4717,32.4717,9.1576,9.1576,9.1576,9.1576,9.1576,-5.8433,11.3184,11.3184,11.3184,11.3184,11.3184,11.3184,19.4207,28.9853,28.9853,28.9853,28.5599,28.5599,28.5599,21.0433
000011.SZ,40.7004,40.7004,3.1701,32.078,32.078,32.078,32.078,38.2915,38.2915,38.2915,60.7819,60.7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,30.0646,30.0646,23.9338,19.183,19.183,19.183,,22.7723,22.7723,25.0392,25.0392,25.0392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,70.3707,70.3707,61.3537,65.5853,65.5853,65.5853,65.5853,55.0077,55.0077,55.0077,55.6322,55.6322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
