code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
000001.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000002.SZ,41.8445,41.8445,39.7792,41.7906,41.7906,41.7906,41.7906,37.2638,37.2638,37.3799,37.3799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,49.8677,49.8677,49.8677,44.3105,44.3105,44.3105,44.3105,41.615,41.615,39.959,39.959,39.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,78.6375,79.0609,79.0609,69.4746,69.4746,69.4746,69.4746,62.1521,,48.4659,48.4659,48.4659,48.4659,48.4659,48.4659,70.3986,70.3986,70.3986,70.3986,75.0337,75.0337,76.4347,76.4347,76.4347,76.4347,76.4347,76.4347,78.7598,,,,,79.3391,70.6612,70.6612,70.6612,70.6612,70.6612,70.6612,70.6612,,,,,,,,,,,,,,,,69.7917,69.7917,70.1375,70.1375,70.1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,19.4307,,,35.6168,35.6168,35.6168,35.6168,32.1058,32.1058,32.4818,32.4818,32.4818,32.4818,32.4818,49.088,43.3183,43.3183,43.3183,43.3183,44.696,44.696,44.4723,44.4723,44.4723,44.4723,44.4723,45.1981,43.353,43.353,,,,,45.067,45.067,45.067,45.067,44.739,,,,,45.5088,43.898,43.898,43.898,46.4293,46.4293,46.4293,46.4293,46.4293,47.4828,47.8978,47.8978,47.8978,48.8144,48.8144,,50.8344,50.8344,50.8344,50.8344,50.8344,39.2168,39.2168,39.2168,39.2168,46.2732,46.2732,46.2732,50.0623,50.0623,50.0623,50.0623,50.0623,,57.7922,,,51.1164,51.1164,48.5656,48.5656,48.5656,48.5656,48.5656,48.5656,53.0718,53.0718,53.0718,53.0718,54.4951,54.4951,53.3046,53.3046
000009.SZ,39.3966,39.3966,39.3966,39.5119,39.5119,39.5119,39.5119,36.21,36.21,36.2572,36.2572,36.2572,36.2572,36.2572,36.2572,37.8179,37.8179,37.8179,37.8179,38.7231,38.7231,36.986,36.986,36.986,36.986,36.986,36.986,34.3138,,,,,35.7402,35.8897,35.8897,,35.8897,35.8897,35.8897,34.1778,34.1778,34.1778,,,35.4051,35.4051,34.1169,34.1169,34.1169,34.1169,34.1169,35.1916,35.1916,35.1916,35.1916,33.3638,33.3638,32.4493,32.4493,32.4493,32.4493,32.4493,32.4493,33.186,33.186,33.186,33.186,34.7911,34.7911,34.5686,34.5686,34.5686,34.5686,34.5686,34.5686,39.263,39.263,39.263,39.263,35.7829,35.7829,35.3386,35.3386,35.3386,35.3386,35.3386,35.3386,35.3386,35.7719,35.7719,35.7719,35.7719,35.9623,35.9834,35.9834
000010.SZ,,,,44.7984,44.7984,44.7984,44.7984,,,36.8796,36.8796,,,,,,,,,,,32.5169,32.5169,32.5169,32.5169,32.5169,32.5169,17.8057,17.8057,17.8057,17.8057,19.4321,19.4321,22.0001,22.0001,,,,,,,15.6561,15.6561,14.4639,14.4639,15.4661,15.4661,15.4661,15.4661,15.4661,15.4661,26.8444,26.8444,26.8444,26.8444,27.9383,27.9383,28.2398,28.2398,28.2398,28.2398,28.2398,28.2398,22.3979,22.3979,22.3979,22.3979,25.9129,25.9129,29.6699,29.6699,29.6699,29.6699,29.6699,29.6699,9.1576,9.1576,9.1576,9.1576,9.1576,5.4549,7.953,7.953,7.953,7.953,7.953,7.953,13.2006,28.9853,28.9853,28.9853,28.7395,28.7395,28.7395,24.4019
000011.SZ,65.1546,65.1546,60.0172,32.078,32.078,32.078,32.078,37.0678,37.0678,37.0678,46.5958,46.5958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000012.SZ,33.5656,33.5656,31.5107,19.183,19.183,19.183,,21.1381,21.1381,22.5737,22.5737,22.5737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000014.SZ,49.7439,49.7439,54.7102,65.5853,65.5853,65.5853,65.5853,60.8093,60.8093,60.8093,59.226,59.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
