,stock_wt,industry,sec_name,mkt_cap_float,turn,amt,close
000895.SZ,0.014142198373246396,C13农副食品加工业,双汇发展,7435999.1719,0.003955,29468.4413,22.54
000963.SZ,0.016775968110774062,F52零售业,华东医药,4643573.7837,0.006415,29516.2437,35.66
002236.SZ,0.009472982675520712,C39计算机、通信和其他电子设备制造业,大华股份,2112579.1899,0.028149,58938.282900000006,11.51
002294.SZ,0.006469912616100576,C27医药制造业,信立泰,2578429.44,0.0061439999999999,15579.9506,24.65
002304.SZ,0.04219757166430199,C15酒、饮料和精制茶制造业,洋河股份,10996174.0016,0.009654,104479.0956,88.39
002310.SZ,0.00761502989328652,E48土木工程建筑业,东方新能,1303465.9382,0.02718,35363.0443,8.03
002415.SZ,0.0580574459533273,C39计算机、通信和其他电子设备制造业,海康威视,19135098.1881,0.00443,84014.04209999999,24.2
002456.SZ,0.014027686645527797,C39计算机、通信和其他电子设备制造业,欧菲光,3498983.6887,0.01665,57815.78540000001,13.1
600011.SH,0.017749317796382114,D44电力、热力生产和供应业,华能国际,6783000.0,0.002166,14653.1611,6.46
600018.SH,0.008931914762050354,G55水上运输业,上港集团,12513784.311,0.000307,3824.3256,5.4
600019.SH,0.0382469170580105,C31黑色金属冶炼和压延加工业,宝钢股份,16907331.4976,0.002773,46616.8211,7.65
600104.SH,0.030354196225006378,C36汽车制造业,上汽集团,31185806.4753,0.002032,63349.0375,27.11
600271.SH,0.017004991566211252,C39计算机、通信和其他电子设备制造业,航天信息,4340008.0825,0.009966,43220.0605,23.5
600276.SH,0.07678011343531745,C27医药制造业,恒瑞医药,22550275.4699,0.006609,147054.9227,61.58
600369.SH,0.005496562930492526,J67资本市场服务,西南证券,2303204.5226,0.020198,46886.1176,4.08
600372.SH,0.00417967806172869,C37铁路、船舶、航空航天和其他运输设备制造业,中航机载,2387205.1349,0.002855,6808.4261,13.57
600415.SH,0.006069121569085497,L72商务服务业,小商品城,1992216.3884,0.0012389999999999,2472.4525000000003,3.66
600519.SH,0.022423986164950612,C15酒、饮料和精制茶制造业,贵州茅台,68952697.242,0.007713,523985.3122,548.9
600535.SH,0.011336661044140835,C27医药制造业,天士力,3044997.119,0.003115,9490.1328,20.13
600637.SH,0.009447217536784028,I63电信、广播电视和卫星传输服务,东方明珠,3117438.6835,0.00185,5757.8667000000005,9.13
600809.SH,0.006698936071537765,C15酒、饮料和精制茶制造业,山西汾酒,2800153.2922,0.010265,28704.2849,32.34
601006.SH,0.02679574428615106,G53铁路运输业,大秦铁路,11982633.9417,0.003392,40586.2196,8.06
601018.SH,0.008874658898191057,G55水上运输业,宁波港,4812800.0,0.000839,4031.4826,3.76
601238.SH,0.0038933987424322053,C36汽车制造业,广汽集团,6558507.7661,0.001811,11908.7504,10.8
601333.SH,0.006698936071537765,G53铁路运输业,广深铁路,1752193.47,0.006161,10738.8745,3.1
601398.SH,0.04901960784313725,J66货币金融服务,工商银行,151791675.6595,0.000562,85180.46040000001,5.63
601601.SH,0.014652621035775972,J68保险业,中国太保,21161032.2,0.003544,74395.059,33.66
601618.SH,0.010477823086251377,E48土木工程建筑业,中国中冶,5659280.2769,0.003047,17272.8104,3.17
601628.SH,0.020669366853206268,J68保险业,中国人寿,45541060.11,0.000407,18372.3416,21.87
601633.SH,0.0052102836111960395,C36汽车制造业,长城汽车,3694997.877,0.004108,15257.1002,6.13
601669.SH,0.013455128006934828,E48土木工程建筑业,中国电建,5271301.9284,0.0042309999999999,22381.3034,4.73
601766.SH,0.03452528590715617,C37铁路、船舶、航空航天和其他运输设备制造业,中国中车,19434203.0645,0.004284,83337.8193,8.48
601800.SH,0.010706846541688565,E48土木工程建筑业,中国交建,14648802.575,0.003715,54791.3772,12.47
601866.SH,0.004122422197869393,G55水上运输业,中远海发,1776796.0,0.001036,1833.8698,2.24
601991.SH,0.004637724972603069,D44电力、热力生产和供应业,大唐发电,3288144.44,0.001647,5389.133400000001,3.29
601901.SH,0.012424522457467481,J67资本市场服务,方正证券,4478263.1589,0.002829,12753.5216,5.44
000503.SZ,0.007901309212583005,I64互联网和相关服务,国新健康,1300595.7292,0.013626,17793.2641,14.47
002470.SZ,0.005840098113648308,C26化学原料和化学制品制造业,金正大,1542790.3599,0.0018679999999999,2882.287,5.66
002475.SZ,0.020898390308643457,C39计算机、通信和其他电子设备制造业,立讯精密,6823417.0719,0.004736,32065.585,16.6
600023.SH,0.011336661044140835,D44电力、热力生产和供应业,浙能电力,6433126.3643,0.000576,3722.8125,4.73
600583.SH,0.008187588531879491,B11开采专业及辅助性活动,海油工程,2467115.9784,0.004147,10132.9074,5.58
600867.SH,0.014256710100964989,C27医药制造业,通化东宝,2640287.335,0.02413,62136.1304,13.38
601216.SH,0.005840098113648308,C26化学原料和化学制品制造业,君正集团,2328892.7996,0.002833,6549.384599999999,2.76
000559.SZ,0.004465957381025177,C36汽车制造业,万向钱潮,1376574.687,0.001787,2470.4165000000003,5.0
000898.SZ,0.006183633296804091,C31黑色金属冶炼和压延加工业,鞍钢股份,3591012.8522,0.0054139999999999,19381.1722,5.84
