,net_value,netval_pctchg,benchmark_nv,benchmark_pctchg
2014-02-07,100000000.0,0.0,1.0,0.0
2014-02-10,101938352.27247646,0.019383522724764735,1.0248819990933262,0.024881999093326224
2014-02-11,102033573.88197698,0.0009341097572972412,1.0330303102893896,0.007950487181228594
2014-02-12,102179387.07383314,0.001429070709850988,1.0355993695770769,0.0024869156907578738
2014-02-13,101060747.65307611,-0.010947799285081938,1.030314809198534,-0.005102900343306627
2014-02-14,102881923.16731195,0.01802060202926281,1.0375559947805246,0.007028129186674059
2014-02-17,103927655.90916824,0.010164397298013883,1.0448202313870885,0.00700129597159771
2014-02-18,102852971.74138151,-0.010340694768734116,1.0316201299625805,-0.012633849372330475
2014-02-19,104157390.07051298,0.012682359168108004,1.0434683565930223,0.01148506730948684
2014-02-20,103580203.40194216,-0.005541485517062905,1.0338773224472233,-0.009191494965035796
2014-02-21,102926228.25843541,-0.0063137078517697676,1.0234175810616397,-0.010117004366461013
2014-02-24,101542331.56060301,-0.013445520361997643,1.000915713250678,-0.021986985788947866
2014-02-25,98557577.90380418,-0.02939418083991352,0.9753335957835608,-0.02555871301493917
2014-02-26,98288720.72619332,-0.002727919895447073,0.9778176826669402,0.002546909994814328
2014-02-27,97538777.54593372,-0.007630002453168028,0.973615616481573,-0.0042973923051855545
2014-02-28,98751981.69882435,0.012438172626464183,0.9848532169512714,0.011542132520746318
2014-03-03,99975049.08756736,0.01238524399918517,0.990005346933739,0.00523136838443472
2014-03-04,98853967.76653418,-0.01121361110862007,0.9872496195450993,-0.002783547985043544
2014-03-05,98285462.05741364,-0.005750965003885278,0.9780757637459813,-0.009292336626419817
2014-03-06,98040677.78504068,-0.002490544046381604,0.9824409950268543,0.004463080921415008
2014-03-07,98220408.83921525,0.0018332294128835525,0.98005634393575,-0.002427271564577893
2014-03-10,95366717.0981167,-0.029053959098968796,0.9481596016782953,-0.03254582499753278
2014-03-11,96317810.19772889,0.009973008703169084,0.9530744417019249,0.005183557720588539
2014-03-12,95905478.39737971,-0.004280950734892208,0.9555481330252028,0.0025954859505628036
2014-03-13,97645233.7767877,0.018140312821332216,0.9673895799425352,0.012392308150760645
2014-03-14,96824231.20450157,-0.008408014815786125,0.9594812705905535,-0.00817489614933764
2014-03-17,97402811.84290633,0.005975576890280054,0.9686121882066437,0.009516514700146361
2014-03-18,97550979.73284332,0.0015211869876607942,0.9663952220197849,-0.002288806824704004
2014-03-19,96513057.09929588,-0.010639797123411121,0.9585926761923141,-0.008073866312338862
2014-03-20,94364950.04520954,-0.022257165182077876,0.9432691686218606,-0.015985421077199358
2014-03-21,96763271.0524006,0.025415379397139004,0.9757354067805265,0.034418848022033766
2014-03-24,97008220.17896844,0.002531426686011695,0.9837607791788683,0.008224947401285432
2014-03-25,96983971.53031854,-0.0002499648855031067,0.9828052916112802,-0.0009712600744112843
2014-03-26,96521318.337613,-0.004770408815037097,0.981271720505875,-0.0015604017586138275
2014-03-27,95396328.16790983,-0.011655354372265947,0.9743383338990625,-0.007065715297734254
2014-03-28,94663012.1533855,-0.0076870465415984635,0.9726470214686396,-0.0017358574240374791
2014-03-31,94625088.03757066,-0.00040062232282866983,0.9700888097219277,-0.0026301543008367956
2014-04-01,97309034.47234562,0.028364004625383465,0.9776866082134866,0.007832064874283784
2014-04-02,97377518.1780732,0.0007037754109773253,0.9856468953659756,0.008141961939148068
2014-04-03,97119922.68622406,-0.00264532816884977,0.9785422080079258,-0.007208146641005553
2014-04-04,98618706.33432838,0.015432298612372275,0.9877915446129981,0.0094521590682346
2014-04-08,100853424.84217657,0.02266018883143972,1.011224041043479,0.023722106711959512
2014-04-09,101359066.82085067,0.005013632204016627,1.0118134241031456,0.0005828412258261917
2014-04-10,101995630.38605306,0.0062802824174328364,1.027696483995583,0.015697617282075527
2014-04-11,102232694.05741076,0.0023242532102643043,1.0262976031906235,-0.0013611808804880887
2014-04-14,102775818.9435601,0.005312633997929472,1.0253696864563477,-0.0009041400188317672
2014-04-15,101450394.0252824,-0.012896272021004851,1.0076746352401351,-0.017257240437218546
2014-04-16,101656371.81102803,0.0020303300714070716,1.0090590526571277,0.001373873439478368
2014-04-17,101559737.99920146,-0.0009505927676251025,1.0055684043674007,-0.003459310216320066
2014-04-18,101820034.29640616,0.0025629870885128803,1.005421962564232,-0.00014563087158736554
2014-04-21,100254632.8640921,-0.015374198635182745,0.9885942626451818,-0.01673695278759657
2014-04-22,100121459.71066758,-0.0013283491208336828,0.9929093240490435,0.00436484568736617
2014-04-23,99695318.76440799,-0.004256239845993659,0.9919479607300937,-0.0009682287150143409
2014-04-24,99184241.87669396,-0.005126388019499384,0.9900523529446328,-0.0019109951938061087
2014-04-25,97659646.27474457,-0.015371349048014848,0.979815890110794,-0.010339314687140888
