No,code,name,ipo_date,industry_zx,industry_sw,MKT_CAP_FLOAT,is_open1,PCT_CHG_NM,liq_barra_con_equal_ortho,mom_con_equal_ortho
1,000001.SZ,平安银行,1991-04-03,J66货币金融服务,J66货币金融服务,15581352.0456,True,-0.130461922596754,0.383102948294339,0.02714357868829778
11,000027.SZ,深圳能源,1993-09-03,D44电力、热力生产和供应业,D44电力、热力生产和供应业,1069518.5721,True,-0.0588752196836555,0.7558347357230121,0.3459968481852438
17,000039.SZ,中集集团,1994-04-08,C33金属制品业,C33金属制品业,2717675.2755,True,-0.1393665158371041,0.7175042676622505,0.481974833993182
25,000060.SZ,中金岭南,1997-01-23,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,1955926.9126,True,-0.014367816091954,-0.10987712724278703,0.08908366543780566
26,000061.SZ,农产品,1997-01-10,L72商务服务业,L72商务服务业,2103463.5547,True,-0.0606508875739645,-0.3297235450186982,1.0572368963452705
28,000063.SZ,中兴通讯,1997-11-18,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,5059130.2005,True,0.0089426617569698,1.0854010809949906,1.0240922212170585
32,000069.SZ,华侨城Ａ,1997-09-10,N78公共设施管理业,N78公共设施管理业,2567782.8619,True,-0.0858468677494197,1.3353138887525473,1.4522869860964096
39,000100.SZ,TCL科技,2004-01-30,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,3091749.3926,True,-0.0347394540942928,1.5410567798459744,0.9512569960872267
43,000156.SZ,华数传媒,2000-09-06,R87广播、电视、电影和录音制作业,R87广播、电视、电影和录音制作业,293452.6241,True,0.1280708819975835,0.3594798560296566,-0.2534192803282811
44,000157.SZ,中联重科,2000-10-12,C35专用设备制造业,C35专用设备制造业,4420387.2329,True,-0.1416549789621318,0.8743584258455748,1.6737804889852241
48,000333.SZ,美的集团,2013-09-18,C38电气机械和器材制造业,C38电气机械和器材制造业,6142502.653,True,0.0050200803212852,0.25025280083319484,-0.2192437000921007
49,000338.SZ,潍柴动力,2007-04-30,C36汽车制造业,C36汽车制造业,2854765.6566,True,-0.1007539410555176,1.2709147663687235,1.0850777824564026
50,000400.SZ,许继电气,1997-04-18,C38电气机械和器材制造业,C38电气机械和器材制造业,1206495.7769,True,0.1368015414258188,1.4872836045570657,0.09888780064752462
62,000423.SZ,东阿阿胶,1996-07-29,C27医药制造业,C27医药制造业,2437267.3433,True,-0.0161953727506425,0.7194386788534108,0.3151591260566692
63,000425.SZ,徐工机械,1996-08-28,C35专用设备制造业,C35专用设备制造业,3077270.9064,True,-0.2038900067069081,0.18187023106862404,1.4789868488890385
65,000503.SZ,国新健康,1992-11-30,I64互联网和相关服务,I64互联网和相关服务,2808840.7072,True,0.1583939298134682,-0.6345869679075873,0.6413728416351232
79,000536.SZ,华映科技,1993-11-26,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,395583.0378,True,0.0773162939297125,0.16776801246290912,-1.0658714933612705
80,000538.SZ,云南白药,1993-12-15,C27医药制造业,C27医药制造业,6576221.92,True,-0.03094688221709,0.2209116301365408,0.03563682914301697
92,000559.SZ,万向钱潮,1994-01-10,C36汽车制造业,C36汽车制造业,2265093.8503,True,0.0088282504012842,1.0414728840160694,-1.7596363828450465
98,000568.SZ,泸州老窖,1994-05-09,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,2856461.0706,True,-0.1269406392694062,0.38461784148872574,-0.7581295403292189
102,000581.SZ,威孚高科,1998-09-24,C36汽车制造业,C36汽车制造业,1820370.6054,True,0.0417256011315416,0.4842496657174572,-0.20019721815130992
109,000598.SZ,兴蓉环境,1996-05-29,D46水的生产和供应业,D46水的生产和供应业,1322111.3269,True,-0.0273437499999998,1.7965235391425538,1.0915069135352622
121,000623.SZ,吉林敖东,1996-10-28,C27医药制造业,C27医药制造业,2746650.7359,True,-0.1182519280205656,1.6118035856023345,1.7225205301562252
122,000625.SZ,长安汽车,1997-06-10,C36汽车制造业,C36汽车制造业,5565695.4701,True,0.0614277808522412,-0.1403467342574893,-0.7304451556323537
125,000630.SZ,铜陵有色,1996-11-20,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,2200483.1006,True,-0.1697005284791544,0.17870102226029994,0.6925387629115545
132,000651.SZ,格力电器,1996-11-18,C38电气机械和器材制造业,C38电气机械和器材制造业,11084817.3256,True,-0.0098039215686274,-0.1098543374934853,-0.8515677236478245
146,000686.SZ,东北证券,1997-02-27,J67资本市场服务,J67资本市场服务,3375584.1489,True,-0.1585117227319062,0.2989858738851096,0.3842441153418062
157,000709.SZ,河钢股份,1997-04-16,C31黑色金属冶炼和压延加工业,C31黑色金属冶炼和压延加工业,1949232.7399,True,-0.1424999999999999,1.2950133956473637,1.1045693514782056
165,000725.SZ,京东方Ａ,2001-01-12,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,3865930.0747,True,-0.101156069364162,1.1571515009497362,1.148070130823256
168,000728.SZ,国元证券,1997-06-16,J67资本市场服务,J67资本市场服务,6122099.7,True,0.0324483775811208,-0.13414514573520547,0.15755446927735473
169,000729.SZ,燕京啤酒,1997-07-16,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,1997051.8769,True,-0.0191846522781774,-0.9733551942836838,-0.4273735291492278
176,000750.SZ,国海证券,1997-07-09,J67资本市场服务,J67资本市场服务,3509669.1655,True,-0.1169354838709677,0.4294391286379174,0.3609311010837527
186,000768.SZ,中航西飞,1997-06-26,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,4431585.3479,True,0.2726332126228663,-0.10855740632665975,0.761299809138184
187,000776.SZ,广发证券,1997-06-11,J67资本市场服务,J67资本市场服务,15360561.3491,True,-0.1596316193399845,-0.7072258035337025,-0.3290067615610369
189,000778.SZ,新兴铸管,1997-06-06,C33金属制品业,C33金属制品业,2250814.0747,True,-0.1298076923076924,1.19100844171517,1.8343662349411234
191,000783.SZ,长江证券,1997-07-31,J67资本市场服务,J67资本市场服务,7976661.3916,True,-0.1937046004842614,0.4643929901012724,0.025740795700592026
196,000792.SZ,盐湖股份,1997-09-04,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,2329571.1366,True,0.1448040885860304,-0.1306066935283684,-0.3172048804092873
198,000800.SZ,一汽解放,1997-06-18,C36汽车制造业,C36汽车制造业,2137395.6741,True,0.1140350877192983,0.5531103665610013,0.589661038473261
213,000825.SZ,太钢不锈,1998-10-21,C31黑色金属冶炼和压延加工业,C31黑色金属冶炼和压延加工业,3001783.1427,True,-0.0972477064220183,0.10648734940942506,-0.12874623079725922
214,000826.SZ,启迪环境,1998-02-25,N77生态保护和环境治理业,N77生态保护和环境治理业,2295577.3249,True,0.0382809678584326,0.6641245479847468,-0.34938588670974924
218,000831.SZ,中国稀土,1998-09-11,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,2232735.3977,True,0.1194029850746269,0.7255253787069061,1.5159564716182006
222,000839.SZ,国安股份,1997-10-31,I63电信、广播电视和卫星传输服务,I63电信、广播电视和卫星传输服务,1758850.4325,True,0.0662020905923344,0.08660623728463285,1.532157871214515
227,000858.SZ,五粮液,1998-04-27,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,8160464.0577,True,-0.0613107822410148,0.3760560483247663,-0.7713408568894561
233,000869.SZ,张裕Ａ,2000-10-26,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,1580764.3488,True,-0.1015957446808509,-1.2522357850365329,-0.5004393459783696
235,000876.SZ,新希望,1998-03-11,C13农副食品加工业,C13农副食品加工业,2419631.0768,True,0.0445205479452055,0.07169254426107419,-0.8266388391712849
236,000878.SZ,云南铜业,1998-06-02,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,2022607.7132,True,-0.1591343093570973,-0.5581488176615722,0.12659529145664747
245,000895.SZ,双汇发展,1998-12-10,C13农副食品加工业,C13农副食品加工业,3823005.279,True,-0.0097799511002444,0.34865953836196273,-0.29302989193773166
246,000898.SZ,鞍钢股份,1997-12-25,C31黑色金属冶炼和压延加工业,C31黑色金属冶炼和压延加工业,3781595.9149,True,-0.1774691358024691,-0.5103434412388173,-0.43018139957611606
257,000917.SZ,电广传媒,1999-03-25,I63电信、广播电视和卫星传输服务,I63电信、广播电视和卫星传输服务,1792508.0738,True,0.0017502917152858,1.181094866146497,-0.27160427960540673
277,000960.SZ,锡业股份,2000-02-21,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,2003123.4803,True,-0.0005288207297726,-0.789178871396761,-0.5826060284090049
279,000963.SZ,华东医药,2000-01-27,F52零售业,F52零售业,2283506.2258,True,-0.0046641791044775,-1.5998246496425514,-0.8512735433664437
282,000970.SZ,中科三环,2000-04-20,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1575430.8,True,0.0419047619047618,0.6179505053078418,-0.47046418719664107
293,000999.SZ,华润三九,2000-03-09,C27医药制造业,C27医药制造业,2215564.0926,True,0.0441558441558442,-0.36038663761488204,0.1674017489139105
296,002001.SZ,新和成,2004-06-25,C27医药制造业,C27医药制造业,1627760.4737,True,-0.0128369704749679,0.12663434368144733,0.058160129584906906
299,002007.SZ,华兰生物,2004-06-25,C27医药制造业,C27医药制造业,1923379.7616,True,0.0936647468929976,0.08655154077556687,-0.27115899937016336
300,002008.SZ,大族激光,2004-06-25,C35专用设备制造业,C35专用设备制造业,1527053.9648,True,0.0588964662120272,0.8296028681791267,-0.8944997886759514
324,002038.SZ,双鹭药业,2004-09-09,C27医药制造业,C27医药制造业,1494763.3048,True,0.0275844930417494,0.3281163460116313,-0.10834575241696226
332,002051.SZ,中工国际,2006-06-19,E48土木工程建筑业,E48土木工程建筑业,2087646.495,True,-0.0993788819875776,-1.158279243873036,-1.129328513860305
344,002065.SZ,东华软件,2006-08-23,I65软件和信息技术服务业,I65软件和信息技术服务业,2368026.1907,True,0.3148450244698206,-0.5825554324727449,-0.32801610104554296
388,002129.SZ,TCL中环,2007-04-20,C38电气机械和器材制造业,C38电气机械和器材制造业,1522655.3727,True,0.1091764705882352,-0.9660081008064314,-0.37058847270427
398,002142.SZ,宁波银行,2007-07-19,J66货币金融服务,J66货币金融服务,4518413.2265,True,-0.1158497772119668,-0.17487753209655527,0.5833928777720643
407,002153.SZ,石基信息,2007-08-13,I65软件和信息技术服务业,I65软件和信息技术服务业,1069631.3208,True,0.2053968253968252,-1.6114378986661066,-0.761292505307043
438,002202.SZ,金风科技,2007-12-26,C34通用设备制造业,C34通用设备制造业,3021749.428,True,0.0180430256766133,0.4992912344690661,1.0594264317239273
459,002230.SZ,科大讯飞,2008-05-12,I65软件和信息技术服务业,I65软件和信息技术服务业,1565748.2194,True,0.1678832116788322,0.566015908486782,-0.3908062560261846
461,002236.SZ,大华股份,2008-05-20,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1449237.178,True,0.0825610783487784,0.4969606695070229,-0.3938707676396961
464,002241.SZ,歌尔股份,2008-05-22,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,2966903.6374,True,0.1308116627265565,-0.30878006417964693,-0.14264732761060445
474,002252.SZ,上海莱士,2008-06-23,C27医药制造业,C27医药制造业,4417171.2,True,0.0460324419114424,-2.419538903465501,-0.4115969945522788
505,002292.SZ,奥飞娱乐,2009-09-10,C24文教、工美、体育和娱乐用品制造业,C24文教、工美、体育和娱乐用品制造业,945888.0,True,0.1588532883642497,-0.1827686982261439,-0.7558845463742728
507,002294.SZ,信立泰,2009-09-10,C27医药制造业,C27医药制造业,1017360.4779,True,0.0306094561355561,-0.05411071979689967,0.24481022696882077
513,002304.SZ,洋河股份,2009-11-06,C15酒、饮料和精制茶制造业,C15酒、饮料和精制茶制造业,6950544.2211,True,-0.1178702851885924,-2.127221643384117,-1.3676281433276805
516,002310.SZ,东方新能,2009-11-27,E48土木工程建筑业,E48土木工程建筑业,1019190.4288,True,0.0354497354497354,-0.3243812741092426,-0.4166564649759024
536,002344.SZ,海宁皮城,2010-01-26,L72商务服务业,L72商务服务业,1749638.1725,True,-0.043319097010372,-0.9869433598446953,0.5223496342056506
543,002353.SZ,杰瑞股份,2010-02-05,C35专用设备制造业,C35专用设备制造业,1621330.9683,True,0.1074354127284185,-0.022979953156500907,-1.3179929619054094
570,002385.SZ,大北农,2010-04-09,C13农副食品加工业,C13农副食品加工业,1289680.3881,True,0.3047895500725688,0.17330184929579695,-1.040113114398868
581,002399.SZ,海普瑞,2010-05-06,C27医药制造业,C27医药制造业,2064516.0,True,0.0752565564424172,-1.392385896426378,-0.23774761305006364
582,002400.SZ,省广集团,2010-05-06,L72商务服务业,L72商务服务业,1119553.3238,True,0.2208703790360318,-0.5447869577167447,-0.7970321641525254
592,002410.SZ,广联达,2010-05-25,I65软件和信息技术服务业,I65软件和信息技术服务业,1046316.591,True,0.3028322440087148,-0.38118631339070064,-0.35913251892539017
596,002415.SZ,海康威视,2010-05-28,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,7047595.8109,True,0.0989282769991757,-1.4517175567597347,-0.25694377222008247
597,002416.SZ,爱施德,2010-05-28,F51批发业,F51批发业,1042434.4953,True,0.0803249097472924,-2.374017867541071,-0.8554905245415363
603,002422.SZ,科伦药业,2010-06-03,C27医药制造业,C27医药制造业,1037335.8702,True,0.1279840848806368,0.5294671864628435,-0.13095624173103249
607,002429.SZ,兆驰股份,2010-06-10,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1203630.8533,True,0.0790816326530614,-1.8832303044445844,0.25384062188893197
623,002450.SZ,康得退(退),2010-07-16,C29橡胶和塑料制品业,C29橡胶和塑料制品业,2741453.4619,True,0.1397471910112357,-0.17305528770826317,-0.48291250575430156
627,002456.SZ,欧菲光,2010-08-03,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1366457.9389,True,0.1233799896319336,0.2102153807316085,-0.6482587604277611
633,002465.SZ,海格通信,2010-08-31,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1747094.7,True,0.1279916753381893,0.43964476476650005,0.024710948181503434
638,002470.SZ,金正大,2010-09-08,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,1593932.6,True,0.2415094339622638,-1.2127760749580725,-0.7393495105029873
643,002475.SZ,立讯精密,2010-09-15,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,2121555.744,True,0.1766772040744644,-1.98503099252243,-0.03310619855094116
664,002500.SZ,山西证券,2010-11-15,J67资本市场服务,J67资本市场服务,3981551.4512,True,-0.1384811742182515,-0.7681092980446695,0.3549914007148891
715,002570.SZ,贝因美,2011-04-12,C14食品制造业,C14食品制造业,1650192.9362,True,0.0112149532710279,0.06232322513602461,-0.1678402694446282
733,002594.SZ,比亚迪,2011-06-30,C36汽车制造业,C36汽车制造业,2642458.739,True,-0.0496770988574269,-0.1566615025279596,-0.857314885565885
739,002603.SZ,以岭药业,2011-07-28,C27医药制造业,C27医药制造业,1215010.4403,True,0.0500685871056241,-0.041868580025453433,-0.15762421481841354
773,002653.SZ,海思科,2012-01-17,C27医药制造业,C27医药制造业,306193.7592,True,0.2375478927203065,0.04256258288825833,-0.029470488993630445
787,002673.SZ,西部证券,2012-05-03,J67资本市场服务,J67资本市场服务,2575103.944,True,-0.2309732166534075,0.0710352710316664,0.38021280724897655
844,300015.SZ,爱尔眼科,2009-10-30,Q84卫生,Q84卫生,1441617.0103,True,0.1663652802893309,0.22876921682526763,-0.01995908389892364
846,300017.SZ,网宿科技,2009-10-30,I65软件和信息技术服务业,I65软件和信息技术服务业,1024234.1808,True,0.3150313152400836,0.6103831419045063,0.9868251642434327
851,300024.SZ,机器人,2009-10-30,C34通用设备制造业,C34通用设备制造业,2497915.4044,True,0.0399897462189182,1.1041142713810077,-0.5511546991788001
853,300027.SZ,华谊兄弟,2009-10-30,R87广播、电视、电影和录音制作业,R87广播、电视、电影和录音制作业,2257670.6485,True,0.0309009679821294,0.9723142374119303,0.3834923256661317
877,300058.SZ,蓝色光标,2010-02-26,L72商务服务业,L72商务服务业,1380221.946,True,0.1808309726156751,0.008013102418223422,-0.7521172375279043
885,300070.SZ,碧水源,2010-04-21,N77生态保护和环境治理业,N77生态保护和环境治理业,2251620.5381,True,0.0306062389640964,0.3827784218243202,-0.4506674310797927
922,300124.SZ,汇川技术,2010-09-28,C38电气机械和器材制造业,C38电气机械和器材制造业,1780160.0955,True,0.1307820299500832,-0.6738836166263553,-0.47476914317309815
929,300133.SZ,华策影视,2010-10-26,R87广播、电视、电影和录音制作业,R87广播、电视、电影和录音制作业,1073178.6549,True,0.0842824601366742,-1.0920095037597166,-0.9137464782787137
937,300146.SZ,汤臣倍健,2010-12-15,C14食品制造业,C14食品制造业,855141.3442,True,0.0558069381598793,-0.014529028690311141,-0.5051486617631278
1009,300251.SZ,光线传媒,2011-08-03,R87广播、电视、电影和录音制作业,R87广播、电视、电影和录音制作业,1255763.3554,True,0.1258361204013378,0.6859574975251541,0.9216787814091434
1122,600000.SH,浦发银行,1999-11-10,J66货币金融服务,J66货币金融服务,23413837.3201,True,-0.0995644057249532,1.0621202108639756,0.5254096961326636
1126,600008.SH,首创环保,2000-04-27,D46水的生产和供应业,D46水的生产和供应业,2596000.0,True,-0.032258064516129,-0.10745144740916479,0.04727663853349098
1127,600009.SH,上海机场,1998-02-18,G56航空运输业,G56航空运输业,2145400.6909,True,-0.0068192888455919,0.13990038966143375,0.20796419482107054
1128,600010.SH,包钢股份,2001-03-09,C31黑色金属冶炼和压延加工业,C31黑色金属冶炼和压延加工业,6422745.8565,True,0.1547344110854502,1.5160697879450895,-0.076611977465697
1129,600011.SH,华能国际,2001-12-06,D44电力、热力生产和供应业,D44电力、热力生产和供应业,9271500.0,True,-0.1143162393162392,-1.4871179519727729,-1.4077767841276108
1131,600015.SH,华夏银行,2003-09-12,J66货币金融服务,J66货币金融服务,8732426.4476,True,-0.1026587887740029,0.3698189078452905,1.2089241883166078
1132,600016.SH,民生银行,2000-12-19,J66货币金融服务,J66货币金融服务,29614841.7084,True,-0.1154331071384275,0.8320692513328324,0.7909509917681922
1134,600018.SH,上港集团,2006-10-26,G55水上运输业,G55水上运输业,14608825.3353,True,-0.0240963855421685,-2.16595941001164,-1.1690551716721558
1135,600019.SH,宝钢股份,2000-12-12,C31黑色金属冶炼和压延加工业,C31黑色金属冶炼和压延加工业,11513419.4556,True,-0.2048192771084337,-0.9654252387425084,-1.05411766928168
1139,600023.SH,浙能电力,2013-12-19,D44电力、热力生产和供应业,D44电力、热力生产和供应业,566881.796,True,-0.0719131614654001,1.8352236207258819,1.7275312399871237
1141,600027.SH,华电国际,2005-02-03,D44电力、热力生产和供应业,D44电力、热力生产和供应业,4116039.34,True,-0.1454293628808863,-0.4629055132379356,0.246366390211655
1142,600029.SH,南方航空,2003-07-25,G56航空运输业,G56航空运输业,3623687.4,True,-0.1073345259391771,-0.10034481929243277,-0.08771867861927908
1143,600030.SH,中信证券,2003-01-06,J67资本市场服务,J67资本市场服务,33271703.163,True,-0.1961915753029427,1.1008879721542277,-0.33655180994093764
1144,600031.SH,三一重工,2003-07-03,C35专用设备制造业,C35专用设备制造业,7578518.7247,True,-0.1884346959122632,0.11645446901502854,1.0584367255769007
1146,600036.SH,招商银行,2002-04-09,J66货币金融服务,J66货币金融服务,34223418.8077,True,-0.1402877697841725,0.064649277769978,-0.06538801088970839
1148,600038.SH,中直股份,2000-12-18,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,1477149.3,True,0.1077812828601472,-0.11559443287416507,-0.27839930197523327
1150,600050.SH,中国联通,2002-10-09,I63电信、广播电视和卫星传输服务,I63电信、广播电视和卫星传输服务,10492315.2155,True,-0.1406844106463879,-0.08967789964861439,-0.11137500192492868
1156,600058.SH,五矿发展,1997-05-28,F51批发业,F51批发业,1871556.1014,True,-0.1590662323561347,0.28473918995990144,1.2668170831978927
1158,600060.SH,海信视像,1997-04-22,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,1495594.0367,True,0.1727272727272726,0.5145987797038158,0.4376313770557773
1161,600066.SH,宇通客车,1997-05-08,C36汽车制造业,C36汽车制造业,2779782.299,True,0.0666944560233431,0.01795789522313196,0.6488930692860119
1162,600068.SH,葛洲坝(退),1997-05-26,E48土木工程建筑业,E48土木工程建筑业,3253799.2255,True,-0.0514786418400876,0.05321615150004544,0.6319048861021421
1173,600085.SH,同仁堂,1997-06-25,C27医药制造业,C27医药制造业,2940894.1998,True,0.0080357142857141,-0.3208369473935921,0.33273708430333715
1176,600089.SH,特变电工,1997-06-18,C38电气机械和器材制造业,C38电气机械和器材制造业,3919400.2767,True,-0.0406249999999999,1.5053130158696937,0.534518294376765
1181,600100.SH,同方股份,1997-06-27,C39计算机、通信和其他电子设备制造业,C39计算机、通信和其他电子设备制造业,2417995.2831,True,0.106312292358804,0.7419152375468352,-0.8422397141896614
1183,600104.SH,上汽集团,1997-11-25,C36汽车制造业,C36汽车制造业,23671891.5525,True,-0.0410668924640136,-1.2812248846732694,-1.269221713041679
1185,600109.SH,国金证券,1997-08-07,J67资本市场服务,J67资本市场服务,5614144.5745,True,-0.1485861182519278,0.5725258683660857,0.09647371079219752
1187,600111.SH,北方稀土,1997-09-24,C32有色金属冶炼和压延加工业,C32有色金属冶炼和压延加工业,3828867.9822,True,-0.0744643484369509,1.7057315438704233,0.896042162290923
1189,600115.SH,中国东航,1997-11-05,G56航空运输业,G56航空运输业,4031186.7795,True,-0.0738738738738739,-1.0174712645470059,-0.8305714266552731
